Time,Short Temp Sensor,Long Temp Sensor,A6581T,S7081
2020-07-05 02:17:29.255641,23.859375,24.0234375,+10.0002987E+00,    10.0010520 
2020-07-05 02:18:24.858860,23.859375,24.0234375,+10.0002992E+00,    10.0010520 
2020-07-05 02:19:20.461086,23.859375,24.0234375,+10.0002990E+00,    10.0010522 
2020-07-05 02:20:16.065033,23.859375,24.0234375,+10.0002990E+00,    10.0010522 
2020-07-05 02:21:11.668078,23.859375,24.0234375,+10.0002992E+00,    10.0010513 
2020-07-05 02:22:07.270452,23.859375,24.03125,+10.0002994E+00,    10.0010512 
2020-07-05 02:23:02.876508,23.8671875,24.0234375,+10.0002989E+00,    10.0010515 
2020-07-05 02:23:58.477917,23.859375,24.0234375,+10.0002998E+00,    10.0010517 
2020-07-05 02:24:54.183288,23.8671875,24.0234375,+10.0002990E+00,    10.0010521 
2020-07-05 02:25:49.888249,23.8671875,24.0234375,+10.0002993E+00,    10.0010526 
2020-07-05 02:26:45.594145,23.8671875,24.03125,+10.0002989E+00,    10.0010523 
2020-07-05 02:27:41.199200,23.8671875,24.03125,+10.0002992E+00,    10.0010523 
2020-07-05 02:28:36.801364,23.8671875,24.03125,+10.0002994E+00,    10.0010524 
2020-07-05 02:29:32.387211,23.8671875,24.03125,+10.0002995E+00,    10.0010518 
2020-07-05 02:30:28.109323,23.875,24.03125,+10.0002998E+00,    10.0010525 
2020-07-05 02:31:23.712676,23.875,24.03125,+10.0002985E+00,    10.0010523 
2020-07-05 02:32:19.315778,23.875,24.03125,+10.0002987E+00,    10.0010521 
2020-07-05 02:33:15.020305,23.875,24.03125,+10.0002991E+00,    10.0010529 
2020-07-05 02:34:10.726796,23.8671875,24.03125,+10.0002980E+00,    10.0010532 
2020-07-05 02:35:06.431159,23.875,24.0390625,+10.0002992E+00,    10.0010532 
2020-07-05 02:36:02.137055,23.875,24.03125,+10.0002982E+00,    10.0010531 
2020-07-05 02:36:57.739712,23.8828125,24.0390625,+10.0002997E+00,    10.0010531 
2020-07-05 02:37:53.445476,23.8828125,24.0390625,+10.0002999E+00,    10.0010539 
2020-07-05 02:38:49.151686,23.890625,24.0390625,+10.0002992E+00,    10.0010518 
2020-07-05 02:39:44.754325,23.8828125,24.0390625,+10.0002997E+00,    10.0010534 
