vref,hpm1_counts,hpm2_counts
-0.3,2103090822.7375,2103028836.636
-0.2,2117877153.7367,2117829632.6256
-0.1,2132663497.283,2132630544.2731
0.0,2147449990.0419,2147431558.9895
0.1,2162236188.8285,2162232304.2543
0.2,2177022568.9218,2177033170.0954
0.3,2191808924.8159,2191834061.8227
0.4,2206595356.4605,2206635010.4363
0.5,2221381651.6441,2221435867.1248
0.6,2236168034.7967,2236236705.6766
0.7,2250954361.3429,2251037537.3385
0.8,2265740758.2867,2265838474.3125
0.9,2280527109.3705,2280639312.0492
1.0,2295313449.266,2295440152.5557
1.1,2310099769.4436,2310241044.2841
1.2,2324886080.9688,2325041830.3385
1.3,2339672465.6327,2339842783.3026
1.4,2354458769.6127,2354643640.6377
1.5,2369245123.8217,2369444460.1571
1.6,2384031390.7671,2384245265.4273
1.7,2398817893.788,2399046256.1053
1.8,2413604115.2326,2413847027.348
1.9,2428390548.2064,2428647910.333
2.0,2443176819.8584,2443448705.8263
2.1,2457963203.8014,2458249650.0459
2.2,2472749458.8379,2473050418.4229
2.3,2487535901.0066,2487851303.9188
2.4,2502322135.6603,2502652138.0838
2.5,2517108532.659,2517452964.6703
2.6,2531894854.5195,2532253861.2842
2.7,2546681134.6754,2547054669.3592
2.8,2561467418.9934,2561855460.5948
2.9,2576253849.2256,2576656431.8261
3.0,2591040120.2901,2591457248.6023
3.1,2605826367.2267,2606258013.6738
3.2,2620612722.5237,2621058875.1444
3.3,2635399035.5765,2635859667.7875
3.4,2650185286.6572,2650660466.5533
3.5,2664971530.6917,2665461233.0497
3.6,2679757905.5709,2680262080.728
3.7,2694544143.856,2695062893.854
3.8,2709330431.1242,2709863687.8324
3.9,2724116734.2321,2724664527.3101
4.0,2738903021.6846,2739465306.2688
4.1,2753689387.8237,2754266176.0833
4.2,2768475670.8137,2769067043.1476
4.3,2783262053.4962,2783867830.5042
4.4,2798048287.1487,2798668661.0854
4.5,2812834557.4343,2813469480.1734
4.6,2827620925.8716,2828270365.4803
4.7,2842407142.5312,2843071055.1031
4.8,2857193391.2689,2857871978.1204
4.9,2871979784.3464,2872672787.4828
5.0,2886765983.4079,2887473541.8019
5.1,2901552453.7202,2902274487.8515
5.2,2916338696.8195,2917075289.0603
5.3,2931125050.4651,2931876205.9839
5.4,2945911343.4952,2946676870.9354
5.5,2960697813.7281,2961477834.1091
5.6,2975484063.8137,2976278650.0582
5.7,2990270438.007,2991079464.6509
5.8,3005056587.5636,3005880298.5021
5.9,3019843070.7518,3020681182.6624
6.0,3034629446.3178,3035482045.2711
6.1,3049415683.2157,3050282987.1697
6.2,3064201994.0342,3065083672.1033
6.3,3078988508.0559,3079884719.7835
6.4,3093774645.7915,3094685479.2679
6.5,3108561060.2856,3109486344.8544
6.6,3123347295.7476,3124287059.7956
6.7,3138133692.5388,3139087997.8698
6.8,3152919958.1984,3153888820.6395
6.9,3167706360.7557,3168689742.8949
7.0,3182492717.5108,3183490490.3821
7.1,3197278962.0223,3198291275.3193
7.2,3212065411.3515,3213092323.4605
7.3,3226851632.2265,3227893043.5951
7.4,3241638054.1145,3242693883.9409
7.5,3256424268.349,3257494652.8632
7.6,3271210553.535,3272295524.7332
7.7,3285996963.2116,3287096259.7411
7.8,3300783320.5589,3301897285.0794
7.9,3315569592.3078,3316697921.2635
8.0,3330355990.3671,3331498830.4191
8.1,3345142124.9561,3346299586.5351
8.2,3359928545.4811,3361100476.1573
8.3,3374714878.7557,3375901228.9007
8.4,3389501195.3907,3390702056.0049
8.5,3404287513.3618,3405502866.5855
8.6,3419073762.0788,3420303540.7993
8.7,3433860087.7697,3435104389.6869
8.8,3448646416.051,3449905217.0391
8.9,3463432429.8002,3464705905.2911
9.0,3478218926.5022,3479506735.7657
9.1,3493005130.7514,3494307669.6337
9.2,3507791552.0604,3509108426.589
9.3,3522577945.863,3523909310.6507
9.4,3537364191.8749,3538710136.323
9.5,3552150381.0247,3553510866.0947
9.6,3566936775.55,3568311708.8294
9.7,3581723215.1266,3583112730.7381
9.8,3596509533.579,3597913625.9053
9.9,3611295949.0765,3612714524.6502
10.0,3626082342.7032,3627515489.7744
10.1,3640868931.8104,3642316683.3338
10.2,3655655439.1661,3657117747.2432
10.3,3670442038.0205,3671918748.2692
10.4,3685228309.2885,3686719740.2023
10.5,3700014726.3815,3701520841.1788
10.6,3714801156.2837,3716321890.7356
10.7,3729587447.915,3731122682.4126
10.8,3744373785.3247,3745923487.9095
10.9,3759160040.2758,3760724204.022
