Time,Short Temp Sensor,Long Temp Sensor,A6581T Int Temp,A6581T,S7081
2020-07-05 11:04:07.582066,24.0234375,24.1796875,+3.959E+01,+10.0003101E+00,    10.0008961 
2020-07-05 11:05:04.154724,24.03125,24.1875,+3.956E+01,+10.0003108E+00,    10.0008961 
2020-07-05 11:06:00.630608,24.046875,24.1953125,+3.956E+01,+10.0003105E+00,    10.0008955 
2020-07-05 11:06:57.162227,24.046875,24.1953125,+3.961E+01,+10.0003099E+00,    10.0008949 
2020-07-05 11:07:53.681023,24.0546875,24.203125,+3.964E+01,+10.0003097E+00,    10.0008940 
2020-07-05 11:08:50.205631,24.078125,24.203125,+3.956E+01,+10.0003104E+00,    10.0008941 
2020-07-05 11:09:46.731268,24.0859375,24.2109375,+3.964E+01,+10.0003097E+00,    10.0008946 
2020-07-05 11:10:43.357923,24.1015625,24.2109375,+3.962E+01,+10.0003093E+00,    10.0008948 
2020-07-05 11:11:39.984636,24.0859375,24.2109375,+3.961E+01,+10.0003098E+00,    10.0008949 
2020-07-05 11:12:36.509902,24.1015625,24.2109375,+3.963E+01,+10.0003103E+00,    10.0008953 
2020-07-05 11:13:32.989765,24.1015625,24.2109375,+3.958E+01,+10.0003099E+00,    10.0008946 
2020-07-05 11:14:29.559977,24.09375,24.21875,+3.964E+01,+10.0003106E+00,    10.0008944 
2020-07-05 11:16:20.561008,24.09375,24.21875,+3.969E+01,+10.0003103E+00,    10.0008955 
2020-07-05 11:17:17.188498,24.1015625,24.21875,+3.965E+01,+10.0003100E+00,    10.0008966 
2020-07-05 11:18:13.714248,24.109375,24.21875,+3.969E+01,+10.0003105E+00,    10.0008963 
2020-07-05 11:19:10.134717,24.1171875,24.21875,+3.975E+01,+10.0003096E+00,    10.0008980 
2020-07-05 11:20:06.762630,24.1171875,24.2265625,+3.973E+01,+10.0003101E+00,    10.0008977 
2020-07-05 11:21:03.287888,24.1171875,24.21875,+3.965E+01,+10.0003110E+00,    10.0008970 
2020-07-05 11:21:59.812195,24.109375,24.2265625,+3.966E+01,+10.0003094E+00,    10.0008980 
2020-07-05 11:22:56.338114,24.1171875,24.2265625,+3.968E+01,+10.0003109E+00,    10.0008985 
2020-07-05 11:23:52.964620,24.1171875,24.2265625,+3.968E+01,+10.0003106E+00,    10.0008978 
2020-07-05 11:24:49.489002,24.1171875,24.2265625,+3.972E+01,+10.0003107E+00,    10.0008993 
2020-07-05 11:25:46.014855,24.125,24.234375,+3.969E+01,+10.0003107E+00,    10.0008989 
2020-07-05 11:26:42.539934,24.1171875,24.234375,+3.970E+01,+10.0003104E+00,    10.0009012 
2020-07-05 11:27:39.164973,24.125,24.234375,+3.967E+01,+10.0003105E+00,    10.0009003 
2020-07-05 11:28:35.691350,24.125,24.2265625,+3.966E+01,+10.0003100E+00,    10.0009004 
2020-07-05 11:29:32.220498,24.1328125,24.234375,+3.980E+01,+10.0003101E+00,    10.0008992 
2020-07-05 11:30:28.739733,24.125,24.2421875,+3.975E+01,+10.0003101E+00,    10.0009003 
2020-07-05 11:32:19.946987,24.1015625,24.2421875,+3.969E+01,+10.0003112E+00,    10.0009007 
2020-07-05 11:33:16.471052,24.09375,24.2421875,+3.971E+01,+10.0003105E+00,    10.0009003 
2020-07-05 11:34:12.894615,24.09375,24.2421875,+3.983E+01,+10.0003103E+00,    10.0009011 
2020-07-05 11:35:09.418999,24.1015625,24.2421875,+3.970E+01,+10.0003107E+00,    10.0009007 
2020-07-05 11:36:06.044847,24.1015625,24.2421875,+3.971E+01,+10.0003104E+00,    10.0009007 
2020-07-05 11:37:02.573294,24.09375,24.234375,+3.971E+01,+10.0003105E+00,    10.0009004 
2020-07-05 11:37:59.197508,24.1015625,24.2421875,+3.973E+01,+10.0003093E+00,    10.0009005 
2020-07-05 11:38:55.824716,24.1171875,24.2421875,+3.973E+01,+10.0003113E+00,    10.0009001 
2020-07-05 11:39:52.279882,24.109375,24.25,+3.973E+01,+10.0003104E+00,    10.0009009 
