# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394049,25.076
16384,-10.07883139,25.075
32768,-9.753725838,25.075
49152,-9.428614243,25.075
65536,-9.103506331,25.075
81920,-8.778398123,25.075
98304,-8.453289327,25.075
114688,-8.128180531,25.075
131072,-7.803072618,25.075
147456,-7.477965,25.075
163840,-7.152855614,25.075
180224,-6.827747702,25.075
196608,-6.502638021,25.075
212992,-6.177529372,25.074
229376,-5.852419397,25.074
245760,-5.527312221,25.073
262144,-5.20220313,25.073
278528,-4.877093155,25.073
294912,-4.551982886,25.073
311296,-4.226874531,25.073
327680,-3.901766766,25.073
344064,-3.576658854,25.073
360448,-3.251549173,25.073
376832,-2.92643802,25.073
393216,-2.601331139,25.073
409600,-2.276223079,25.073
425984,-1.951113251,25.073
442368,-1.626006664,25.072
458752,-1.30089448,25.072
475136,-0.9757877457,25.072
491520,-0.65067836,25.072
507904,-0.3255688271,25.071
524288,-0.0004589995146,25.071
540672,0.324647882,25.071
557056,0.6497540269,25.071
573440,0.974864591,25.071
589824,1.299973387,25.071
606208,1.6250813,25.071
622592,1.950190391,25.071
638976,2.275298893,25.071
655360,2.600406511,25.071
671744,2.925517959,25.071
688128,3.250623367,25.071
704512,3.575736288,25.071
720896,3.900844201,25.071
737280,4.22595123,25.07
753664,4.551059731,25.07
770048,4.876171474,25.07
786432,5.201279386,25.07
802816,5.526389803,25.069
819200,5.851496243,25.069
835584,6.176607249,25.069
851968,6.501716929,25.068
868352,6.826826609,25.068
884736,7.151933343,25.068
901120,7.47704376,25.067
917504,7.80215403,25.067
933888,8.127264446,25.067
950272,8.45236956,25.068
966656,8.777482629,25.068
983040,9.102590394,25.068
999424,9.427699485,25.068
1015808,9.752805777,25.068
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 25dac_counts,3458A_volt,arroyo_temperature
0,-10.40393945,25.068
16384,-10.07883213,25.068
32768,-9.753724071,25.068
49152,-9.428615864,25.068
65536,-9.103507362,25.068
81920,-8.778396503,25.068
98304,-8.453289327,25.068
114688,-8.128180383,25.067
131072,-7.803072323,25.067
147456,-7.477964116,25.067
163840,-7.152855614,25.067
180224,-6.827745934,25.067
196608,-6.502638463,25.066
212992,-6.177529225,25.066
229376,-5.852420429,25.066
245760,-5.527311779,25.066
262144,-5.202202983,25.066
278528,-4.877093597,25.065
294912,-4.551983623,25.066
311296,-4.226875857,25.066
327680,-3.901765588,25.066
344064,-3.576658706,25.066
360448,-3.251550057,25.066
376832,-2.92643964,25.066
393216,-2.601330844,25.066
409600,-2.276223521,25.066
425984,-1.951113104,25.066
442368,-1.626005928,25.066
458752,-1.300894774,25.066
475136,-0.9757873037,25.066
491520,-0.6506767397,25.065
507904,-0.3255686798,25.065
524288,-0.0004592941227,25.065
540672,0.3246480293,25.065
557056,0.6497540269,25.065
573440,0.9748648856,25.065
589824,1.299972062,25.065
606208,1.625080858,25.065
622592,1.950189802,25.065
638976,2.275298893,25.065
655360,2.600407837,25.065
671744,2.925519285,25.065
688128,3.250623367,25.064
704512,3.575733931,25.064
720896,3.900842728,25.064
737280,4.225952703,25.064
753664,4.551058553,25.064
770048,4.876171474,25.064
786432,5.201280565,25.064
802816,5.526389361,25.064
819200,5.851495801,25.064
835584,6.176607985,25.064
851968,6.50171634,25.063
868352,6.826825725,25.063
884736,7.151932312,25.063
901120,7.477043318,25.063
917504,7.802152557,25.063
933888,8.127263857,25.063
950272,8.452366762,25.063
966656,8.77747983,25.063
983040,9.102589805,25.063
999424,9.427698012,25.062
1015808,9.752807103,25.062
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 30dac_counts,3458A_volt,arroyo_temperature
0,-10.40393945,25.062
16384,-10.07883169,25.061
32768,-9.753724807,25.061
49152,-9.428615716,25.061
65536,-9.103506625,25.061
81920,-8.778398565,25.061
98304,-8.453289032,25.061
114688,-8.128182445,25.061
131072,-7.803072323,25.061
147456,-7.477963674,25.061
163840,-7.152855467,25.061
180224,-6.827747112,25.061
196608,-6.502638316,25.061
212992,-6.177528783,25.06
229376,-5.852420281,25.06
245760,-5.527311632,25.06
262144,-5.202202099,25.06
278528,-4.87709345,25.06
294912,-4.551982149,25.06
311296,-4.226875857,25.06
327680,-3.901766324,25.06
344064,-3.576658117,25.06
360448,-3.251548731,25.06
376832,-2.926438462,25.061
393216,-2.601330255,25.061
409600,-2.276222931,25.061
425984,-1.951112957,25.061
442368,-1.626006075,25.061
458752,-1.300896247,25.061
475136,-0.9757874511,25.061
491520,-0.6506776235,25.061
507904,-0.3255701528,25.061
524288,-0.0004603252513,25.06
540672,0.3246475874,25.06
557056,0.649753585,25.06
573440,0.974866064,25.06
589824,1.299973535,25.06
606208,1.625081447,25.06
622592,1.950189802,25.06
638976,2.275300071,25.06
655360,2.600407395,25.06
671744,2.925517959,25.06
688128,3.25062322,25.06
704512,3.575734226,25.06
720896,3.900843317,25.06
737280,4.225951966,25.06
753664,4.551059289,25.06
770048,4.876171474,25.06
786432,5.201281743,25.06
802816,5.526389656,25.06
819200,5.851495801,25.06
835584,6.176607838,25.06
851968,6.501716487,25.06
868352,6.826826757,25.06
884736,7.15193246,25.06
901120,7.477043908,25.06
917504,7.802153293,25.06
933888,8.127261942,25.06
950272,8.452371181,25.06
966656,8.777480124,25.06
983040,9.102589805,25.06
999424,9.42769757,25.059
1015808,9.752806808,25.059
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 35dac_counts,3458A_volt,arroyo_temperature
0,-10.40394152,25.059
16384,-10.07883331,25.059
32768,-9.753725396,25.059
49152,-9.428614538,25.059
65536,-9.103508246,25.059
81920,-8.778398123,25.058
98304,-8.453290211,25.058
114688,-8.128183182,25.058
131072,-7.80307306,25.058
147456,-7.477964411,25.058
163840,-7.152856204,25.059
180224,-6.827746818,25.059
196608,-6.5026392,25.059
212992,-6.177529225,25.059
229376,-5.852418219,25.059
245760,-5.527311779,25.059
262144,-5.202202836,25.059
278528,-4.877094039,25.059
294912,-4.551983033,25.059
311296,-4.226874973,25.059
327680,-3.90176765,25.059
344064,-3.576657822,25.059
360448,-3.251549173,25.059
376832,-2.926439051,25.059
393216,-2.601330402,25.059
409600,-2.276222637,25.059
425984,-1.951113251,25.059
442368,-1.626006517,25.059
458752,-1.300895364,25.059
475136,-0.975787893,25.058
491520,-0.6506771816,25.058
507904,-0.3255700055,25.058
524288,-0.0004598833391,25.058
540672,0.32464744,25.057
557056,0.6497541742,25.057
573440,0.9748650329,25.057
589824,1.299974271,25.057
606208,1.625081889,25.057
622592,1.950189655,25.057
638976,2.275299187,25.057
655360,2.6004071,25.057
671744,2.925516928,25.057
688128,3.250622925,25.057
704512,3.575734815,25.057
720896,3.900843906,25.057
737280,4.225952555,25.057
753664,4.551058848,25.057
770048,4.876173389,25.057
786432,5.201278503,25.057
802816,5.526388183,25.057
819200,5.851496095,25.057
835584,6.176607838,25.057
851968,6.501715751,25.057
868352,6.826827198,25.057
884736,7.151933049,25.057
901120,7.477043171,25.057
917504,7.802152409,25.056
933888,8.127263121,25.056
950272,8.452370149,25.056
966656,8.777482923,25.056
983040,9.10259172,25.056
999424,9.427699485,25.056
1015808,9.752808576,25.056
