# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
0,-10.40393317
0,-10.40393344
0,-10.40393291
0,-10.4039332
0,-10.40393322
53248,-9.34733107
53248,-9.347330967
53248,-9.347330893
53248,-9.347331217
53248,-9.347330672
104448,-8.331364965
104448,-8.331365362
104448,-8.3313652
104448,-8.331364979
104448,-8.331365568
159744,-7.234125874
159744,-7.234125844
159744,-7.234126183
159744,-7.234125903
159744,-7.234125933
212992,-6.177524491
212992,-6.177524418
212992,-6.177524447
212992,-6.177524609
212992,-6.177524462
263168,-5.181879516
263168,-5.181879162
263168,-5.18187903
263168,-5.181879368
263168,-5.181879162
315392,-4.145595654
315392,-4.145595772
315392,-4.145595978
315392,-4.145595904
315392,-4.145595595
365568,-3.149949647
365568,-3.149949515
365568,-3.149949633
365568,-3.149949736
365568,-3.149949559
421888,-2.03238816
421888,-2.032388101
421888,-2.032388219
421888,-2.03238819
421888,-2.032388219
472064,-1.036742699
472064,-1.036742669
472064,-1.036742625
472064,-1.036742772
472064,-1.036742669
524288,-0.000459720675
524288,-0.0004597059446
524288,-0.0004596322926
524288,-0.0004594997191
524288,-0.0004596764838
574464,0.9951862122
574464,0.9951863006
574464,0.9951860797
574464,0.9951861533
574464,0.995186168
626688,2.031470045
626688,2.031469927
626688,2.031469794
626688,2.031469824
626688,2.031469868
671744,2.925518283
671744,2.92551843
671744,2.925518135
671744,2.925517929
671744,2.925517944
737280,4.225951525
737280,4.2259521
737280,4.225951643
737280,4.225951791
737280,4.225951849
786432,5.201278288
786432,5.20127842
786432,5.201278273
786432,5.201278243
786432,5.201277993
851968,6.501713637
851968,6.501713534
851968,6.501713504
851968,6.501713681
851968,6.501714034
885760,7.172250394
885760,7.172250335
885760,7.172250364
885760,7.172250069
885760,7.172249952
951296,8.472685419
951296,8.472685625
951296,8.47268561
951296,8.472685315
951296,8.472685492
1048575,10.40299787
1048575,10.40299815
1048575,10.40299797
1048575,10.40299865
1048575,10.40299835
