Time,Short Temp Sensor,Long Temp Sensor,K2001,S7081
2020-07-04 12:23:58.409537,23.3671875,24.5234375,+10.0000753E+00,    10.0011470 
2020-07-04 12:24:50.939268,23.3671875,24.5078125,+10.0000748E+00,    10.0011476 
2020-07-04 12:25:43.265910,23.359375,24.484375,+10.0000783E+00,    10.0011481 
2020-07-04 12:26:35.592814,23.359375,24.46875,+10.0000814E+00,    10.0011481 
2020-07-04 12:27:27.919403,23.359375,24.453125,+10.0000840E+00,    10.0011477 
2020-07-04 12:28:20.244753,23.3671875,24.4453125,+10.0000790E+00,    10.0011474 
2020-07-04 12:29:12.469191,23.3671875,24.4296875,+10.0000789E+00,    10.0011473 
2020-07-04 12:30:04.693781,23.375,24.421875,+10.0000706E+00,    10.0011473 
2020-07-04 12:30:57.019481,23.375,24.40625,+10.0000822E+00,    10.0011479 
2020-07-04 12:31:49.346386,23.3671875,24.3984375,+10.0000826E+00,    10.0011476 
2020-07-04 12:32:41.672336,23.3671875,24.3828125,+10.0000771E+00,    10.0011473 
2020-07-04 12:33:34.002226,23.375,24.375,+10.0000792E+00,    10.0011464 
2020-07-04 12:34:26.244651,23.3828125,24.359375,+10.0000769E+00,    10.0011469 
2020-07-04 12:35:18.549199,23.3828125,24.3515625,+10.0000756E+00,    10.0011475 
2020-07-04 12:36:10.874698,23.3828125,24.34375,+10.0000760E+00,    10.0011469 
2020-07-04 12:37:03.406669,23.375,24.3359375,+10.0000810E+00,    10.0011465 
2020-07-04 12:37:55.630553,23.3671875,24.3203125,+10.0000758E+00,    10.0011471 
2020-07-04 12:38:47.957795,23.375,24.3125,+10.0000815E+00,    10.0011464 
2020-07-04 12:39:40.284056,23.3828125,24.296875,+10.0000790E+00,    10.0011467 
2020-07-04 12:40:32.503369,23.3828125,24.2890625,+10.0000750E+00,    10.0011472 
2020-07-04 12:41:24.834721,23.3828125,24.28125,+10.0000801E+00,    10.0011467 
2020-07-04 12:42:17.160195,23.3828125,24.2734375,+10.0000732E+00,    10.0011480 
2020-07-04 12:43:09.487077,23.3828125,24.265625,+10.0000700E+00,    10.0011467 
2020-07-04 12:44:02.120620,23.390625,24.25,+10.0000834E+00,    10.0011479 
2020-07-04 12:44:54.446476,23.40625,24.2421875,+10.0000758E+00,    10.0011466 
2020-07-04 12:45:46.670757,23.4140625,24.234375,+10.0000707E+00,    10.0011475 
2020-07-04 12:46:38.997204,23.4140625,24.2265625,+10.0000791E+00,    10.0011466 
2020-07-04 12:47:31.238669,23.421875,24.21875,+10.0000788E+00,    10.0011471 
2020-07-04 12:48:23.547556,23.421875,24.2109375,+10.0000743E+00,    10.0011467 
2020-07-04 12:49:15.874009,23.421875,24.2109375,+10.0000796E+00,    10.0011464 
2020-07-04 12:50:08.200306,23.421875,24.1953125,+10.0000708E+00,    10.0011464 
2020-07-04 12:51:00.526685,23.421875,24.1953125,+10.0000760E+00,    10.0011468 
2020-07-04 12:51:53.057574,23.421875,24.1875,+10.0000823E+00,    10.0011463 
2020-07-04 12:52:45.384116,23.4296875,24.1796875,+10.0000804E+00,    10.0011469 
2020-07-04 12:53:37.710569,23.421875,24.1640625,+10.0000750E+00,    10.0011461 
2020-07-04 12:54:32.907343,23.4296875,24.1640625,+10.0000809E+00,    10.0011471 
2020-07-04 12:55:25.229999,23.4296875,24.15625,+10.0000801E+00,    10.0011460 
2020-07-04 12:56:17.555546,23.4375,24.15625,+10.0000752E+00,    10.0011474 
2020-07-04 12:57:09.883761,23.4375,24.1484375,+10.0000787E+00,    10.0011470 
2020-07-04 12:58:02.208952,23.4453125,24.140625,+10.0000750E+00,    10.0011475 
2020-07-04 12:58:54.478624,23.453125,24.1328125,+10.0000760E+00,    10.0011467 
2020-07-04 12:59:47.066782,23.453125,24.125,+10.0000828E+00,    10.0011475 
2020-07-04 13:00:39.393997,23.4609375,24.125,+10.0000793E+00,    10.0011478 
2020-07-04 13:01:31.668539,23.4765625,24.1171875,+10.0000764E+00,    10.0011470 
