"Time","3458A"
1663401660000,10.00428539
1663401780000,10.00428511
1663401840000,10.00428464
1663401960000,10.00428473
1663402080000,10.00428533
1663402200000,10.00428492
1663402260000,10.00428483
1663402380000,10.00428533
1663402500000,10.00428557
1663402620000,10.00428396
1663402680000,10.00428487
1663402800000,10.00428421
1663402920000,10.00428367
1663402980000,10.00428458
1663403100000,10.00428451
1663403220000,10.00428476
1663403340000,10.00428462
1663403400000,10.00428448
1663403520000,10.00428479
1663403640000,10.00428468
1663403760000,10.00428549
1663403820000,10.00428595
1663403940000,10.00428618
1663404060000,10.00428627
1663404180000,10.00428583
1663404240000,10.00428602
1663404360000,10.00428646
1663404480000,10.00428641
1663404600000,10.0042852
1663404660000,10.00428551
1663404780000,10.00428568
1663404900000,10.00428508
1663405020000,10.00428452
1663405080000,10.00428493
1663405200000,10.00428567
1663405320000,10.00428515
1663405440000,10.00428487
1663405500000,10.00428568
1663405620000,10.00428537
1663405740000,10.00428604
1663405860000,10.00428546
1663405920000,10.00428532
1663406040000,10.0042849
1663406160000,10.00428558
1663406280000,10.0042859
1663406340000,10.0042859
1663406460000,10.00428614
1663406580000,10.00428598
1663406700000,10.00428626
1663406760000,10.00428564
1663406880000,10.0042866
1663407000000,10.00428593
1663407120000,10.00428601
1663407180000,10.00428573
1663407300000,10.00428636
1663407420000,10.00428589
1663407540000,10.00428551
1663407600000,10.00428608
1663407720000,10.00428598
1663407840000,10.00428624
1663407960000,10.00428539
1663408020000,10.00428616
1663408140000,10.00428527
1663408440000,10.00428734
1663408560000,10.00428759
1663408680000,10.00428674
1663408800000,10.00428713
1663408860000,10.0042873
1663408980000,10.00428709
1663409100000,10.00428694
1663409220000,10.00428578
1663409280000,10.00428759
1663409400000,10.00428674
1663409520000,10.00428643
1663409640000,10.00428591
1663409700000,10.00428715
1663409820000,10.00428684
1663409940000,10.00428565
1663410060000,10.00428522
1663410120000,10.00428498
1663410240000,10.00428525
1663410360000,10.00428565
1663410480000,10.00428646
1663410540000,10.00428467
1663410660000,10.00428582
1663410780000,10.00428553
1663410840000,10.00428559
1663410960000,10.00428612
1663411080000,10.00428569
1663411200000,10.00428575
1663411260000,10.00428641
1663411380000,10.00428581
1663411500000,10.00428585
1663411620000,10.00428525
1663411680000,10.00428497
1663411800000,10.0042856
1663411920000,10.00428612
1663412040000,10.00428573
1663412100000,10.00428522
1663412220000,10.00428485
1663412340000,10.00428535
1663412460000,10.0042856
1663412520000,10.00428463
1663412640000,10.00428526
1663412760000,10.00428575
1663412880000,10.00428578
1663412940000,10.00428576
1663413060000,10.0042852
1663413180000,10.00428616
1663413300000,10.00428497
1663413360000,10.00428538
1663413480000,10.004285
1663413600000,10.00428615
1663413720000,10.00428618
1663413780000,10.00428528
1663413900000,10.00428634
1663414020000,10.00428531
1663414140000,10.00428497
1663414200000,10.00428572
1663414320000,10.004285
1663414440000,10.00428682
1663414560000,10.00428626
1663414620000,10.00428654
1663414740000,10.00428563
1663414860000,10.00428514
1663414980000,10.00428507
1663415040000,10.00428512
1663415160000,10.00428489
1663415280000,10.00428509
1663415400000,10.00428544
1663415460000,10.00428556
1663415580000,10.00428551
1663415880000,10.00428551
1663416000000,10.0042854
1663416120000,10.00428712
1663416240000,10.0042866
1663416300000,10.00428572
1663416420000,10.00428678
1663416540000,10.00428676
1663416660000,10.0042875
1663416720000,10.00428696
1663416840000,10.00428734
1663416960000,10.00428737
1663417080000,10.00428707
1663417140000,10.00428706
1663417260000,10.00428793
1663417380000,10.0042875
1663417500000,10.00428719
1663417560000,10.00428768
1663417680000,10.0042866
1663417800000,10.00428676
1663417920000,10.0042869
1663417980000,10.00428735
1663418100000,10.00428777
1663418220000,10.00428721
1663418340000,10.00428819
1663418400000,10.00428697
1663418520000,10.00428697
1663418640000,10.00428629
1663418700000,10.00428569
1663418820000,10.00428676
1663418940000,10.00428666
1663419060000,10.00428741
1663419120000,10.00428721
1663419240000,10.00428654
1663419360000,10.00428638
1663419480000,10.00428659
1663419540000,10.00428669
1663419660000,10.00428688
1663419780000,10.00428634
1663419900000,10.00428623
1663419960000,10.00428621
1663420080000,10.00428582
1663420200000,10.00428566
1663420320000,10.00428588
1663420380000,10.00428637
1663420500000,10.00428504
1663420620000,10.00428535
1663420740000,10.00428522
1663420800000,10.00428528
1663420920000,10.00428575
1663421040000,10.00428628
1663421160000,10.00428625
1663421220000,10.00428585
1663421340000,10.00428578
1663421460000,10.00428554
1663421580000,10.00428603
1663421640000,10.0042856
1663421760000,10.00428572
1663421880000,10.00428485
1663422000000,10.0042856
1663422060000,10.00428641
1663422180000,10.00428584
1663422300000,10.00428621
1663422420000,10.00428603
1663422480000,10.00428585
1663422600000,10.00428587
1663422720000,10.00428615
1663422840000,10.00428572
1663422900000,10.00428528
1663423260000,10.00428611
1663423320000,10.00428599
1663423440000,10.00428648
1663423560000,10.00428599
1663423680000,10.00428548
1663423740000,10.00428571
1663423860000,10.00428635
1663423980000,10.00428557
1663424100000,10.00428546
1663424160000,10.00428613
1663424280000,10.00428595
1663424400000,10.00428546
1663424520000,10.00428611
1663424580000,10.00428567
1663424700000,10.00428667
1663424820000,10.00428644
1663424940000,10.00428571
1663425000000,10.00428536
1663425120000,10.00428536
1663425240000,10.00428541
1663425360000,10.00428604
1663425420000,10.00428598
1663425540000,10.00428708
1663425660000,10.00428635
1663425780000,10.00428651
1663425840000,10.00428599
1663425960000,10.00428651
1663426080000,10.00428627
1663426200000,10.00428642
1663426260000,10.00428623
1663426380000,10.00428626
1663426500000,10.00428577
1663426560000,10.00428604
1663426680000,10.00428654
1663426800000,10.00428555
1663426920000,10.00428535
1663426980000,10.00428473
1663427100000,10.00428471
1663427220000,10.00428524
1663427340000,10.00428539
1663427400000,10.00428586
1663427520000,10.0042861
1663427640000,10.0042857
1663427760000,10.00428644
1663427820000,10.00428619
1663427940000,10.0042853
1663428060000,10.00428545
1663428180000,10.0042849
1663428240000,10.00428462
1663428360000,10.00428429
1663428480000,10.00428483
1663428600000,10.00428505
1663428660000,10.00428533
1663428780000,10.00428536
1663428900000,10.00428557
1663429020000,10.00428526
1663429080000,10.00428492
1663429200000,10.00428542
1663429320000,10.00428535
1663429440000,10.00428449
1663429500000,10.0042851
1663429620000,10.00428626
1663429740000,10.00428577
1663429860000,10.00428605
1663429920000,10.00428482
1663430040000,10.00428518
1663430160000,10.00428471
1663430280000,10.00428567
1663430340000,10.00428518
1663430700000,10.00428655
1663430760000,10.00428652
1663430880000,10.0042859
1663431000000,10.00428579
1663431120000,10.00428598
1663431180000,10.00428565
1663431300000,10.00428526
1663431420000,10.00428458
1663431540000,10.00428422
1663431600000,10.00428449
1663431720000,10.00428556
1663431840000,10.00428481
1663431960000,10.00428537
1663432020000,10.00428515
1663432140000,10.00428512
1663432260000,10.00428427
1663432380000,10.00428471
1663432440000,10.00428536
1663432560000,10.00428512
1663432680000,10.00428539
1663432800000,10.00428484
1663432860000,10.00428548
1663432980000,10.00428587
1663433100000,10.00428534
1663433220000,10.00428609
1663433280000,10.00428649
1663433400000,10.00428607
1663433520000,10.00428589
1663433640000,10.00428543
1663433700000,10.00428596
1663433820000,10.00428599
1663433940000,10.00428579
1663434060000,10.00428556
1663434120000,10.00428528
1663434240000,10.00428526
1663434360000,10.0042859
1663434420000,10.00428551
1663434540000,10.00428559
1663434660000,10.0042858
1663434780000,10.00428526
1663434840000,10.00428545
1663434960000,10.00428573
1663435080000,10.00428564
1663435200000,10.00428524
1663435260000,10.00428542
1663435380000,10.00428593
1663435500000,10.00428461
1663435620000,10.00428515
1663435680000,10.00428549
1663435800000,10.00428633
1663435920000,10.00428652
1663436040000,10.00428526
1663436100000,10.00428524
1663436220000,10.00428514
1663436340000,10.00428517
1663436460000,10.00428587
1663436520000,10.00428571
1663436640000,10.00428605
1663436760000,10.00428495
1663436880000,10.00428561
1663436940000,10.00428517
1663437060000,10.0042843
1663437180000,10.00428505
1663437300000,10.00428506
1663437360000,10.00428492
1663437480000,10.0042859
1663437600000,10.00428627
1663437720000,10.00428555
1663437780000,10.00428496
1663438020000,10.00428636
1663438140000,10.00428611
1663438200000,10.00428598
1663438320000,10.00428453
1663438440000,10.00428522
1663438560000,10.00428533
1663438620000,10.00428637
1663438740000,10.00428586
1663438860000,10.00428676
1663438980000,10.00428559
1663439040000,10.00428589
1663439160000,10.00428575
1663439280000,10.00428548
1663439400000,10.00428631
1663439460000,10.00428514
1663439580000,10.00428581
1663439700000,10.00428599
1663439820000,10.00428478
1663439880000,10.00428411
1663440000000,10.00428449
1663440120000,10.00428477
1663440240000,10.00428568
1663440300000,10.00428455
1663440420000,10.00428509
1663440540000,10.00428503
1663440660000,10.00428546
1663440720000,10.00428631
1663440840000,10.00428543
1663440960000,10.00428515
1663441080000,10.0042854
1663441140000,10.00428548
1663441260000,10.00428508
1663441380000,10.00428573
1663441500000,10.00428453
1663441560000,10.00428496
1663441680000,10.00428173
1663441800000,10.00428162
1663441920000,10.0042806
