# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt,ambient_temp
0,-10.40394005,19.999116057530046
0,-10.40394002,20.00427103364491
0,-10.40394002,20.00427103364491
0,-10.40394065,20.00942601005081
0,-10.40394034,19.988806106173435
1024,-10.38362075,19.988806106173435
1024,-10.38362091,19.988806106173435
1024,-10.38362109,19.99396108170622
1024,-10.38362076,19.978496155980974
1024,-10.38362039,19.983651130931683
2048,-10.36330098,19.973341181321302
2048,-10.36330099,19.963031232875075
2048,-10.36330096,19.963031232875075
2048,-10.36330055,19.978496155980974
2048,-10.36330059,19.973341181321302
3072,-10.34298176,19.988806106173435
3072,-10.34298142,20.00427103364491
3072,-10.34298175,20.00942601005081
3072,-10.34298137,20.00942601005081
3072,-10.34298169,19.999116057530046
4096,-10.32266214,20.0300459185848
4096,-10.32266252,20.0300459185848
4096,-10.32266295,20.0300459185848
4096,-10.32266263,20.024890941014746
4096,-10.32266273,20.0300459185848
5120,-10.30234277,20.0300459185848
5120,-10.30234235,20.0300459185848
5120,-10.30234257,20.01973596373573
5120,-10.3023421,20.0300459185848
5120,-10.30234235,20.01973596373573
6144,-10.2820236,20.01973596373573
6144,-10.28202347,20.00942601005081
6144,-10.28202361,20.014580986747752
6144,-10.28202364,20.00942601005081
6144,-10.28202319,20.014580986747752
7168,-10.26170399,20.0300459185848
7168,-10.26170356,20.0300459185848
7168,-10.26170418,20.0300459185848
7168,-10.26170433,20.0300459185848
7168,-10.2617043,20.0300459185848
8192,-10.24138448,20.0300459185848
8192,-10.24138423,20.035200896445893
8192,-10.24138411,20.0300459185848
8192,-10.24138447,20.01973596373573
8192,-10.24138464,20.024890941014746
9216,-10.22106428,20.024890941014746
9216,-10.22106511,20.00942601005081
9216,-10.221065,19.999116057530046
9216,-10.22106412,19.999116057530046
9216,-10.22106412,19.988806106173435
10240,-10.20074556,19.983651130931683
10240,-10.20074514,19.988806106173435
10240,-10.20074535,19.978496155980974
10240,-10.20074534,19.978496155980974
10240,-10.20074541,19.978496155980974
11264,-10.18042705,19.988806106173435
11264,-10.18042698,19.983651130931683
11264,-10.18042688,19.978496155980974
11264,-10.18042688,19.988806106173435
11264,-10.18042652,19.988806106173435
12288,-10.16010865,19.999116057530046
12288,-10.16010878,19.999116057530046
12288,-10.1601079,19.99396108170622
12288,-10.16010741,19.999116057530046
12288,-10.16010732,19.978496155980974
13312,-10.13978711,20.00942601005081
13312,-10.13978671,19.999116057530046
13312,-10.13978699,19.999116057530046
13312,-10.13978801,19.99396108170622
13312,-10.13978729,19.99396108170622
14336,-10.11946756,19.983651130931683
14336,-10.11946783,19.988806106173435
14336,-10.11946755,19.978496155980974
14336,-10.1194679,19.96818620695267
14336,-10.1194671,19.96818620695267
15360,-10.09914886,19.973341181321302
15360,-10.09914858,19.957876259088515
15360,-10.09914878,19.957876259088515
15360,-10.09914904,19.952721285592997
15360,-10.099149,19.942411339475075
16384,-10.07883116,19.947566312388517
16384,-10.07883123,19.926946422480977
16384,-10.07883127,19.92179145073169
16384,-10.07883107,19.926946422480977
16384,-10.07883101,19.952721285592997
17408,-10.0585114,19.96818620695267
17408,-10.0585118,19.973341181321302
17408,-10.05851206,19.96818620695267
17408,-10.05851308,19.983651130931683
17408,-10.05851374,19.99396108170622
18432,-10.03819207,20.00427103364491
18432,-10.03819154,20.00942601005081
18432,-10.03819179,20.00427103364491
18432,-10.0381926,19.999116057530046
18432,-10.03819275,20.00942601005081
19456,-10.01787424,20.014580986747752
19456,-10.0178743,20.014580986747752
19456,-10.01787432,20.024890941014746
19456,-10.01787396,20.024890941014746
19456,-10.01787427,20.0300459185848
20480,-9.997556149,20.024890941014746
20480,-9.997556223,20.024890941014746
20480,-9.997556414,20.024890941014746
20480,-9.99755612,20.024890941014746
20480,-9.99755556,20.01973596373573
21504,-9.977235479,20.024890941014746
21504,-9.97723595,20.024890941014746
21504,-9.977236186,20.00427103364491
21504,-9.977235612,20.014580986747752
21504,-9.977235965,20.01973596373573
22528,-9.956916208,20.00942601005081
22528,-9.956916223,20.00427103364491
22528,-9.956915811,20.00427103364491
22528,-9.956916282,19.999116057530046
22528,-9.956916076,20.00427103364491
23552,-9.936596068,19.973341181321302
23552,-9.936596186,19.99396108170622
23552,-9.936596068,19.999116057530046
23552,-9.936595685,20.00942601005081
23552,-9.936595921,20.024890941014746
24576,-9.916278742,20.024890941014746
24576,-9.916278742,19.999116057530046
