# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394137,25.57
16384,-10.0788308,25.569
32768,-9.753723482,25.569
49152,-9.428613801,25.568
65536,-9.103507509,25.567
81920,-8.778396945,25.566
98304,-8.453289032,25.566
114688,-8.128181267,25.565
131072,-7.803072765,25.564
147456,-7.477964263,25.563
163840,-7.152855467,25.562
180224,-6.827747849,25.562
196608,-6.502638905,25.561
212992,-6.177527899,25.56
229376,-5.852419397,25.559
245760,-5.527310748,25.558
262144,-5.202201805,25.558
