vref,3458A_volt,3458B_volt,3458F_volt
1.3999999999999595,1.399951644,1.399953105,1.399951949
1.4999999999999591,1.499948359,1.499949986,1.499949279
1.5999999999999588,1.599945237,1.599946516,1.599945333
1.6999999999999584,1.699940818,1.699941609,1.699942143
1.799999999999958,1.799938034,1.799939429,1.799938583
1.8999999999999577,1.899934764,1.899936267,1.899936447
1.9999999999999574,1.999932069,1.999932562,1.999932115
2.099999999999957,2.099928269,2.099928726,2.09992894
2.1999999999999567,2.199923526,2.199925168,2.199924029
2.2999999999999563,2.29992086,2.299921375,2.299921003
2.399999999999956,2.399917561,2.39991899,2.39991808
2.4999999999999556,2.499913613,2.499915212,2.499915232
2.5999999999999552,2.599911109,2.599911757,2.599911405
2.699999999999955,2.699907324,2.699908316,2.699907993
2.7999999999999545,2.799904172,2.799904992,2.799905367
2.899999999999954,2.899900593,2.899901566,2.899901109
2.999999999999954,2.999897632,2.99989773,2.999897489
3.0999999999999535,3.099893626,3.099894084,3.099894374
3.199999999999953,3.199890326,3.199891332,3.199891185
3.2999999999999527,3.299886762,3.299887847,3.299887787
3.3999999999999524,3.399883492,3.399884406,3.399884286
3.499999999999952,3.499880031,3.499880555,3.499879969
3.5999999999999517,3.599876466,3.599876953,3.599876779
3.6999999999999513,3.69987324,3.699873732,3.699874184
3.799999999999951,3.799869308,3.799870365,3.799870608
3.8999999999999506,3.89986673,3.899867305,3.89986687
3.9999999999999503,3.999862635,3.999863336,3.999863547
4.09999999999995,4.099859881,4.099860731,4.099860446
4.1999999999999496,4.199856214,4.199857144,4.19985696
4.299999999999949,4.299853371,4.299852677,4.299853741
4.399999999999949,4.399849144,4.399849339,4.399849824
4.4999999999999485,4.499845888,4.499847525,4.49984754
4.599999999999948,4.59984172,4.599842047,4.599842629
4.699999999999948,4.699838907,4.699839222,4.699839944
4.799999999999947,4.799835092,4.799834608,4.799835048
4.899999999999947,4.899831822,4.899832135,4.899832318
4.999999999999947,4.999828508,4.999828811,4.999828802
5.099999999999946,5.099824605,5.099824682,5.099825613
5.199999999999946,5.199822263,5.199822106,5.19982226
5.299999999999946,5.299818065,5.299818035,5.299818581
5.399999999999945,5.399815193,5.399815473,5.399815317
5.499999999999945,5.499810744,5.499811138,5.499811015
5.599999999999945,5.599807533,5.599807785,5.599808285
5.699999999999944,5.69980394,5.699804095,5.69980468
5.799999999999944,5.799801568,5.799801182,5.799802753
5.8999999999999435,5.89979818,5.899797507,5.899798613
5.999999999999943,5.999794027,5.999794037,5.99979437
6.099999999999945,6.099791302,6.09979064,6.099790928
6.1999999999999424,6.199787134,6.199787449,6.199787353
6.29999999999994,6.299784836,6.299784213,6.299784178
6.399999999999942,6.399780874,6.399780069,6.399780632
6.499999999999943,6.499776425,6.499777214,6.499777829
6.599999999999941,6.599773244,6.59977348,6.599774625
6.699999999999939,6.699770961,6.699770494,6.699770901
6.79999999999994,6.799767779,6.799767068,6.799767192
6.899999999999942,6.899764274,6.899763041,6.899763928
6.99999999999994,6.999759605,6.999759072,6.999759774
7.0999999999999375,7.099757322,7.099756511,7.099756911
7.199999999999939,7.199753551,7.199752,7.199753796
7.29999999999994,7.299749883,7.299749835,7.299749953
7.399999999999938,7.399746172,7.399744781,7.399746675
7.499999999999936,7.499743211,7.499742982,7.499743916
7.5999999999999375,7.599740265,7.5997396,7.599740563
7.699999999999939,7.699736215,7.699735089,7.69973586
7.799999999999937,7.799732621,7.799732191,7.799732923
7.899999999999935,7.89972913,7.899727841,7.899728961
7.999999999999936,7.999725197,7.999724899,7.999726099
8.099999999999937,8.09972287,8.099721605,8.09972279
8.199999999999935,8.19971854,8.19971746,8.199719423
8.299999999999933,8.299715815,8.299714518,8.299715269
8.399999999999935,8.39971281,8.399711253,8.399712554
8.499999999999936,8.499708922,8.499708164,8.499708815
8.599999999999934,8.599704959,8.599704122,8.599704721
8.699999999999932,8.699701631,8.699700784,8.69970165
8.799999999999933,8.79969842,8.799696786,8.799698193
8.899999999999935,8.899695297,8.899693536,8.899694841
8.999999999999932,8.999692116,8.999689905,8.999690835
9.09999999999993,9.099687844,9.099686801,9.099687616
9.199999999999932,9.199684383,9.199683375,9.199683921
9.299999999999933,9.299681849,9.299680418,9.299682246
9.399999999999931,9.399677386,9.399677095,9.399677765
9.499999999999929,9.499674043,9.499674343,9.499674546
9.59999999999993,9.599670405,9.599670184,9.599670629
9.699999999999932,9.699666811,9.699666112,9.699667499
9.79999999999993,9.799664439,9.799663068,9.799663494
9.899999999999928,9.899661479,9.899659553,9.899660512
9.999999999999929,9.999656824,9.99965535,9.999656803
