vref,3458A_volt,3458B_volt,3458F_volt
-10.0,-10.00039066,-10.00038274,-10.00039196
-9.9,-9.900386251,-9.900379802,-9.90038835
-9.8,-9.8003817,-9.800375678,-9.80038477
-9.700000000000001,-9.700378592,-9.700371715,-9.70038067
-9.600000000000001,-9.600375528,-9.600368295,-9.600375858
-9.500000000000002,-9.500370549,-9.50036376,-9.500373421
-9.400000000000002,-9.4003661,-9.400360531,-9.40036898
-9.300000000000002,-9.300362417,-9.300357257,-9.300364777
-9.200000000000003,-9.200358985,-9.200353236,-9.200361063
-9.100000000000003,-9.10035461,-9.100349288,-9.100357394
-9.000000000000004,-9.000351104,-9.000346043,-9.000352953
-8.900000000000004,-8.900346965,-8.900342125,-8.900349893
-8.800000000000004,-8.800342723,-8.800337341,-8.800344784
-8.700000000000005,-8.700338274,-8.700333232,-8.700340773
-8.600000000000005,-8.600334606,-8.600330149,-8.600336911
-8.500000000000005,-8.500331807,-8.500327271,-8.500333435
-8.400000000000006,-8.40032618,-8.400321432,-8.400329425
-8.300000000000006,-8.300323529,-8.300318671,-8.300324821
-8.200000000000006,-8.200319139,-8.200314547,-8.200320706
-8.100000000000007,-8.10031497,-8.100310863,-8.100317557
-8.000000000000007,-8.000311273,-8.000307091,-8.000313116
-7.9000000000000075,-7.90030706,-7.900303304,-7.900309729
-7.800000000000008,-7.800303392,-7.800299195,-7.800305555
-7.700000000000008,-7.700300387,-7.700296141,-7.700301293
-7.6000000000000085,-7.600297028,-7.600291826,-7.600297713
-7.500000000000009,-7.500291814,-7.500287996,-7.500293658
-7.400000000000009,-7.400288337,-7.400284106,-7.40028984
-7.30000000000001,-7.300283977,-7.30027966,-7.300285963
-7.20000000000001,-7.200281075,-7.200276841,-7.200282369
-7.10000000000001,-7.100277171,-7.10027279,-7.100278343
-7.000000000000011,-7.000273385,-7.000269003,-7.000274466
-6.900000000000011,-6.900270115,-6.900264029,-6.900270367
-6.800000000000011,-6.800265608,-6.800261503,-6.800266416
-6.700000000000012,-6.700261704,-6.700257789,-6.700263059
-6.600000000000012,-6.600258036,-6.60025349,-6.600257964
-6.500000000000012,-6.500254015,-6.500249688,-6.50025477
-6.400000000000013,-6.400249699,-6.400245945,-6.400250849
-6.300000000000013,-6.300245825,-6.300241206,-6.300245666
-6.2000000000000135,-6.200242569,-6.20023846,-6.200242858
-6.100000000000014,-6.100237958,-6.100233999,-6.100238892
-6.000000000000014,-6.000234408,-6.000230534,-6.000234807
-5.900000000000015,-5.900230151,-5.900227085,-5.900230916
-5.800000000000015,-5.800226675,-5.80022258,-5.800227158
-5.700000000000015,-5.700222712,-5.700218939,-5.700223103
-5.600000000000016,-5.600219707,-5.600215461,-5.600220087
-5.500000000000016,-5.500214964,-5.500211513,-5.500215809
-5.400000000000016,-5.400211311,-5.400207213,-5.400211932
-5.300000000000017,-5.300207157,-5.300204159,-5.300207358
-5.200000000000017,-5.200203842,-5.200200621,-5.200204164
-5.100000000000017,-5.10019988,-5.100196043,-5.100200302
-5.000000000000018,-5.000195033,-5.000192153,-5.000195861
-4.900000000000018,-4.900192617,-4.900189012,-4.900192622
-4.8000000000000185,-4.800188007,-4.800184052,-4.80018876
-4.700000000000019,-4.70018484,-4.700181057,-4.700184483
-4.600000000000019,-4.600180096,-4.600176493,-4.60018016
-4.5000000000000195,-4.500176016,-4.500172575,-4.50017667
-4.40000000000002,-4.400173232,-4.400170078,-4.400173283
-4.30000000000002,-4.300169078,-4.300166203,-4.300169317
-4.200000000000021,-4.20016407,-4.200161566,-4.200164505
-4.100000000000021,-4.100160947,-4.100158117,-4.100160999
-4.000000000000021,-4.000156572,-4.000153949,-4.000157196
-3.9000000000000217,-3.900153301,-3.900150132,-3.90015375
-3.800000000000022,-3.800149604,-3.800146272,-3.800148982
-3.7000000000000224,-3.700145789,-3.70014275,-3.700146071
-3.6000000000000227,-3.600142342,-3.600139007,-3.600142431
-3.500000000000023,-3.500138188,-3.500134765,-3.500137589
-3.4000000000000234,-3.400133577,-3.400130671,-3.400133297
-3.300000000000024,-3.300131132,-3.300127925,-3.300130103
-3.200000000000024,-3.200126521,-3.200123918,-3.200126805
-3.1000000000000245,-3.100123059,-3.100119912,-3.100121845
-3.000000000000025,-3.00011836,-3.000114893,-3.000118012
-2.9000000000000252,-2.900115208,-2.900112294,-2.900114804
-2.8000000000000256,-2.800109935,-2.800107598,-2.800109902
-2.700000000000026,-2.700106605,-2.700103562,-2.700106872
-2.6000000000000263,-2.600102908,-2.600099658,-2.600102134
-2.5000000000000266,-2.50009896,-2.500095652,-2.500098539
-2.400000000000027,-2.400095204,-2.400091557,-2.400095093
-2.3000000000000274,-2.300091315,-2.300088533,-2.30009083
-2.2000000000000277,-2.200087028,-2.200085464,-2.200087102
-2.100000000000028,-2.100083287,-2.100080944,-2.10008324
-2.0000000000000284,-2.00007931,-2.000076747,-2.000078843
-1.9000000000000288,-1.900076231,-1.900073781,-1.90007602
-1.8000000000000291,-1.800071974,-1.800069086,-1.800071757
-1.7000000000000295,-1.700067761,-1.700065665,-1.700067836
-1.6000000000000298,-1.600064137,-1.600061776,-1.600064375
-1.5000000000000302,-1.500059629,-1.500057579,-1.500059622
-1.4000000000000306,-1.400056168,-1.400053719,-1.400055834
-1.300000000000031,-1.300052264,-1.30005024,-1.300051779
-1.2000000000000313,-1.200047919,-1.200046072,-1.200048007
-1.1000000000000316,-1.100044398,-1.100043267,-1.10004407
-1.000000000000032,-1.000040715,-1.000038308,-1.000040357
-0.9000000000000323,-0.9000374009,-0.9000347114,-0.9000363464
-0.8000000000000327,-0.800033026,-0.8000307193,-0.8000321726
-0.700000000000033,-0.7000292255,-0.7000270059,-0.70002837
-0.6000000000000334,-0.6000250714,-0.6000225447,-0.6000240033
-0.5000000000000338,-0.5000206965,-0.5000180836,-0.5000197702
-0.4000000000000341,-0.4000169107,-0.4000148392,-0.4000165168
-0.30000000000003446,-0.3000131102,-0.3000105687,-0.3000121056
-0.20000000000003482,-0.2000094423,-0.2000068405,-0.2000091491
-0.10000000000003517,-0.100004537,-0.1000022181,-0.100004248
-3.552713678800501e-14,-1.340425907e-06,1.378073072e-06,7.422520929e-08
0.09999999999996412,0.09999633242,0.09999806924,0.09999657308
0.19999999999996376,0.1999929005,0.1999947164,0.1999935173
0.2999999999999634,0.2999894539,0.299991261,0.2999898677
0.39999999999996305,0.3999858747,0.3999885239,0.3999862329
0.4999999999999627,0.4999818241,0.4999835145,0.4999830287
0.5999999999999623,0.599979497,0.5999814518,0.5999803885
0.699999999999962,0.6999756526,0.6999783188,0.6999768429
0.7999999999999616,0.799972368,0.7999737492,0.7999727776
0.8999999999999613,0.8999692012,0.8999706456,0.8999689796
0.9999999999999609,0.9999657399,0.9999666478,0.9999662207
1.0999999999999606,1.099963015,1.099963661,1.099963313
1.1999999999999602,1.199958699,1.199959708,1.19995956
1.2999999999999599,1.299955709,1.299957366,1.299955851
