# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394456,19.989
0,-10.40394441,19.989
0,-10.40394456,19.989
0,-10.40394456,19.988
0,-10.40394401,19.987
16384,-10.07883581,19.989
16384,-10.07883632,19.99
16384,-10.07883587,19.989
16384,-10.07883625,19.989
16384,-10.07883581,19.99
32768,-9.753728491,19.991
32768,-9.753727931,19.991
32768,-9.753727961,19.992
32768,-9.753727504,19.992
32768,-9.753727489,19.991
49152,-9.428617211,19.992
49152,-9.4286178,19.992
49152,-9.42861808,19.992
49152,-9.428618227,19.993
49152,-9.428618375,19.993
65536,-9.103510365,19.993
65536,-9.103510247,19.993
65536,-9.103509982,19.993
65536,-9.103509894,19.992
65536,-9.103509746,19.992
81920,-8.778401736,19.993
81920,-8.778401707,19.993
81920,-8.778401707,19.992
81920,-8.778401353,19.993
81920,-8.778401383,19.993
98304,-8.453292813,19.992
98304,-8.453292224,19.993
98304,-8.453292504,19.992
98304,-8.453292504,19.992
98304,-8.453292754,19.992
114688,-8.128185245,19.991
114688,-8.128185407,19.991
114688,-8.128185289,19.99
114688,-8.128185289,19.99
114688,-8.12818523,19.99
131072,-7.803076543,19.992
131072,-7.803076926,19.992
131072,-7.803076558,19.993
131072,-7.803076263,19.993
131072,-7.803076396,19.992
147456,-7.477968091,19.995
147456,-7.477968062,19.995
147456,-7.477968401,19.995
147456,-7.477968548,19.995
147456,-7.477968209,19.995
163840,-7.152858962,19.994
163840,-7.152859153,19.995
163840,-7.152858814,19.996
163840,-7.152859006,19.996
163840,-7.152859021,19.996
180224,-6.827750083,19.996
180224,-6.827749715,19.996
180224,-6.827749818,19.996
180224,-6.827749862,19.996
180224,-6.827750009,19.996
196608,-6.502640629,19.995
196608,-6.502640777,19.995
196608,-6.50264085,19.994
196608,-6.502640791,19.994
196608,-6.502640939,19.994
212992,-6.177532737,19.994
212992,-6.177532914,19.994
212992,-6.177532649,19.995
212992,-6.177532752,19.995
212992,-6.177532944,19.995
229376,-5.852423328,19.995
229376,-5.852423269,19.995
229376,-5.852423254,19.995
229376,-5.852423387,19.995
229376,-5.852423122,19.995
245760,-5.527315407,19.994
245760,-5.5273152,19.994
245760,-5.52731548,19.993
245760,-5.527315392,19.992
245760,-5.527315451,19.992
262144,-5.202206189,19.991
262144,-5.202205894,19.992
262144,-5.202205747,19.994
262144,-5.202205644,19.995
262144,-5.202205776,19.996
278528,-4.877096883,19.996
278528,-4.877096986,19.996
278528,-4.877096809,19.995
278528,-4.877096956,19.995
278528,-4.877096868,19.993
294912,-4.551987105,19.994
294912,-4.551987017,19.996
294912,-4.551987002,19.996
294912,-4.551986884,19.997
294912,-4.55198684,19.998
311296,-4.226878005,19.998
311296,-4.226877931,19.998
311296,-4.226877828,19.998
311296,-4.226878064,19.999
311296,-4.226877976,19.998
327680,-3.901769701,19.999
327680,-3.901769627,20.0
327680,-3.901769583,19.999
327680,-3.901769524,20.0
327680,-3.901769612,20.0
344064,-3.576660733,20.0
344064,-3.576660807,19.999
344064,-3.576660822,20.0
344064,-3.576660601,20.0
344064,-3.576660866,20.0
360448,-3.251551972,19.999
360448,-3.251552134,19.998
360448,-3.251552046,19.998
360448,-3.251552046,19.999
360448,-3.251552252,19.999
376832,-2.926442209,20.0
376832,-2.926442091,20.0
376832,-2.926441944,20.0
376832,-2.926441826,20.001
376832,-2.926441885,20.001
393216,-2.601333448,20.0
393216,-2.601333316,19.999
393216,-2.601333537,19.999
393216,-2.601333183,20.0
393216,-2.601333257,20.0
409600,-2.276225482,20.0
409600,-2.276225247,20.0
409600,-2.276225409,20.001
409600,-2.276225262,20.001
409600,-2.276225158,20.001
425984,-1.951115219,19.999
425984,-1.95111516,19.999
425984,-1.951115204,20.0
425984,-1.951115234,20.0
425984,-1.951115263,20.0
442368,-1.62600718,19.998
442368,-1.626007091,19.999
442368,-1.626007209,20.0
442368,-1.626007194,20.001
442368,-1.626007121,20.002
458752,-1.300897034,20.001
458752,-1.300897063,20.0
458752,-1.300897078,20.0
458752,-1.300897063,19.999
458752,-1.300897196,20.0
475136,-0.975789289,20.002
475136,-0.975789289,20.001
475136,-0.9757893921,20.001
475136,-0.9757893774,20.001
475136,-0.9757893774,20.001
491520,-0.6506784803,20.002
491520,-0.6506783625,20.002
491520,-0.6506783477,20.003
491520,-0.6506784067,20.003
491520,-0.6506785834,20.004
507904,-0.3255699696,20.002
507904,-0.3255699254,20.001
507904,-0.3255698518,20.001
507904,-0.3255698665,20.002
507904,-0.3255699107,20.001
524288,-0.0004617534859,20.001
524288,-0.0004616651036,20.001
524288,-0.0004615472604,20.001
524288,-0.0004619302505,20.001
524288,-0.0004617829467,20.001
540672,0.3246479651,20.0
540672,0.3246479209,20.0
540672,0.3246480388,19.999
540672,0.324648024,20.0
540672,0.3246478178,20.002
557056,0.6497539275,20.002
557056,0.6497540453,20.002
557056,0.6497540159,20.002
557056,0.6497539864,20.002
557056,0.6497539569,20.002
573440,0.9748651191,20.001
573440,0.9748649276,20.001
573440,0.9748650455,20.001
573440,0.9748649571,20.0
573440,0.9748650308,20.001
589824,1.299973674,20.0
589824,1.299973483,20.0
589824,1.299973527,20.001
589824,1.299973571,20.001
589824,1.299973586,20.002
606208,1.625082789,20.001
606208,1.625082951,20.002
606208,1.625082907,20.002
606208,1.625082907,20.001
606208,1.625082907,20.0
622592,1.950189915,20.001
622592,1.950189782,20.002
622592,1.950189797,20.002
622592,1.950190003,20.001
622592,1.950189767,20.001
638976,2.275299913,20.002
638976,2.275299987,20.002
638976,2.275299987,20.002
638976,2.275299987,20.002
638976,2.275300002,20.001
655360,2.600408527,20.0
655360,2.600408527,20.0
655360,2.600408365,20.001
655360,2.600408262,20.001
655360,2.600408424,20.002
671744,2.925518997,20.001
671744,2.925519159,20.0
671744,2.925519262,19.999
671744,2.925519277,19.999
671744,2.925519439,20.0
