# INL run# wait_settle = 20# samples_per_meter_per_step = 1# NPLC = 317vref,3458A_volt,3458B_volt,F8508_volt
-11.0,-11.00002076,-11.00005328,-11.0000254
-10.0,-10.00001917,-10.00004961,-10.000023
-9.0,-9.000017772,-9.000046506,-9.0000218
-8.0,-8.000016049,-8.000043521,-8.0000193
-7.0,-7.000012986,-7.000038748,-7.0000163
-6.0,-6.000011146,-6.000035632,-6.0000142
-5.0,-5.000009968,-5.000032207,-5.0000124
-4.0,-4.000007951,-4.000028666,-4.0000101
-3.0,-3.000006052,-3.000025051,-3.0000083
-2.0,-2.000003489,-2.000020234,-2.0000053
-1.0,-1.000001678,-1.000016589,-1.0000033
0.0,2.946092543e-08,-1.266660778e-05,-1.3e-06
1.0,1.000003034,0.9999917987,1.0000021
2.0,2.000004506,1.999995443,2.0000048
3.0,3.000007377,3.000000113,3.0000081
4.0,4.000008702,4.000003699,4.0000105
5.0,5.000010513,5.000007578,5.0000133
6.0,6.000012324,6.000011032,6.0000148
7.0,7.000014253,7.000014412,7.0000165
8.0,8.00001655,8.000019332,8.0000208
9.0,9.000017948,9.000022566,9.0000236
10.0,10.00001966,10.00002608,10.0000253
11.0,11.00002201,11.00003004,11.0000283
