"Time","Arroyo TECSource Chamber Temp","3458A Vz"
2023-02-15 13:02:25,21.4640000 °C,9.9706294
2023-02-15 13:02:30,21.4470000 °C,9.9706295
2023-02-15 13:02:35,21.4283333 °C,9.9706296
2023-02-15 13:02:40,21.4095000 °C,9.9706297
2023-02-15 13:02:45,21.3930000 °C,9.9706297
2023-02-15 13:02:50,21.3780000 °C,9.9706295
2023-02-15 13:02:55,21.3640000 °C,9.9706295
2023-02-15 13:03:00,21.3475000 °C,9.9706293
2023-02-15 13:03:05,21.3283333 °C,9.9706296
2023-02-15 13:03:10,21.3095000 °C,9.9706300
2023-02-15 13:03:15,21.2933333 °C,9.9706298
2023-02-15 13:03:20,21.2785000 °C,9.9706303
2023-02-15 13:03:25,21.2646667 °C,9.9706297
2023-02-15 13:03:30,21.2475000 °C,9.9706303
2023-02-15 13:03:35,21.2283333 °C,9.9706305
2023-02-15 13:03:40,21.2095000 °C,9.9706304
2023-02-15 13:03:45,21.1930000 °C,9.9706302
2023-02-15 13:03:50,21.1780000 °C,9.9706297
2023-02-15 13:03:55,21.1643333 °C,9.9706300
2023-02-15 13:04:00,21.1470000 °C,9.9706302
2023-02-15 13:04:05,21.1283333 °C,9.9706299
2023-02-15 13:04:10,21.1095000 °C,9.9706300
2023-02-15 13:04:15,21.0930000 °C,9.9706300
2023-02-15 13:04:20,21.0780000 °C,9.9706302
2023-02-15 13:04:25,21.0640000 °C,9.9706302
2023-02-15 13:04:30,21.0475000 °C,9.9706303
2023-02-15 13:04:35,21.0283333 °C,9.9706299
2023-02-15 13:04:40,21.0095000 °C,9.9706300
2023-02-15 13:04:45,20.9930000 °C,9.9706303
2023-02-15 13:04:50,20.9785000 °C,9.9706298
2023-02-15 13:04:55,20.9646667 °C,9.9706301
2023-02-15 13:05:00,20.9475000 °C,9.9706298
2023-02-15 13:05:05,20.9286667 °C,9.9706298
2023-02-15 13:05:10,20.9105000 °C,9.9706298
2023-02-15 13:05:15,20.8933333 °C,9.9706302
2023-02-15 13:05:20,20.8785000 °C,9.9706300
2023-02-15 13:05:25,20.8646667 °C,9.9706301
2023-02-15 13:05:30,20.8475000 °C,9.9706299
