# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
0,-10.40394016
0,-10.40393994
0,-10.40394037
0,-10.40394051
0,-10.40394056
1024,-10.38362059
1024,-10.38362058
1024,-10.38362012
1024,-10.38361986
1024,-10.38362015
2048,-10.36329974
2048,-10.3632997
2048,-10.36329976
2048,-10.36329994
2048,-10.36329926
3072,-10.34298024
3072,-10.3429804
3072,-10.34298077
3072,-10.3429803
3072,-10.34298077
4096,-10.32266188
4096,-10.32266161
4096,-10.32266141
4096,-10.3226621
4096,-10.32266138
5120,-10.30234177
5120,-10.30234208
5120,-10.30234231
5120,-10.30234214
5120,-10.30234208
6144,-10.28202295
6144,-10.28202263
6144,-10.2820223
6144,-10.28202242
6144,-10.2820223
7168,-10.26170287
7168,-10.26170293
7168,-10.2617025
7168,-10.2617033
7168,-10.26170367
8192,-10.24138344
8192,-10.24138386
8192,-10.24138324
8192,-10.2413833
8192,-10.2413835
9216,-10.22106419
9216,-10.22106425
9216,-10.22106411
9216,-10.22106422
9216,-10.22106415
10240,-10.20074455
10240,-10.20074427
10240,-10.20074438
10240,-10.2007445
10240,-10.20074463
11264,-10.18042543
11264,-10.1804259
11264,-10.18042574
11264,-10.18042549
11264,-10.18042553
12288,-10.16010644
12288,-10.16010644
12288,-10.16010589
12288,-10.16010639
12288,-10.16010645
13312,-10.13978641
13312,-10.13978681
13312,-10.13978692
13312,-10.13978625
13312,-10.13978615
14336,-10.11946735
14336,-10.11946761
14336,-10.11946632
14336,-10.1194658
14336,-10.11946591
15360,-10.09914597
15360,-10.09914602
15360,-10.09914578
15360,-10.09914582
15360,-10.09914603
16384,-10.07882917
16384,-10.07882911
16384,-10.0788295
16384,-10.07882957
16384,-10.07882979
17408,-10.05850934
17408,-10.05850911
17408,-10.05850934
17408,-10.05850903
17408,-10.05850893
18432,-10.03818873
18432,-10.03818874
18432,-10.03818886
18432,-10.03818876
18432,-10.03818885
19456,-10.01787036
19456,-10.01787039
19456,-10.01787024
19456,-10.01787022
19456,-10.01787011
20480,-9.99755188
20480,-9.997551792
20480,-9.997551939
20480,-9.997551792
20480,-9.99755188
21504,-9.977231872
21504,-9.977232255
21504,-9.977231636
21504,-9.977231695
21504,-9.977231931
22528,-9.956912468
22528,-9.956912173
22528,-9.956912291
22528,-9.956912615
22528,-9.956912512
23552,-9.936592901
23552,-9.93659299
23552,-9.936592356
23552,-9.936592636
23552,-9.936592533
24576,-9.916275044
24576,-9.916275073
24576,-9.916275103
24576,-9.916275103
24576,-9.916275147
25600,-9.895955256
25600,-9.895954608
25600,-9.895955463
25600,-9.895955153
25600,-9.89595536
26624,-9.875635204
26624,-9.875635587
26624,-9.875635852
26624,-9.87563569
26624,-9.875635823
27648,-9.855316462
27648,-9.855316183
27648,-9.855316698
27648,-9.855316212
27648,-9.855316448
28672,-9.834998222
28672,-9.834998045
28672,-9.834998001
28672,-9.834998045
28672,-9.83499803
29696,-9.814678464
29696,-9.814678405
29696,-9.814678434
29696,-9.814678317
29696,-9.81467786
30720,-9.794358898
30720,-9.79435903
30720,-9.794358839
30720,-9.794359472
30720,-9.794359177
31744,-9.774039699
31744,-9.77403939
31744,-9.774039567
31744,-9.774039935
31744,-9.77403992
32768,-9.753721606
32768,-9.753721915
32768,-9.753721518
32768,-9.75372165
32768,-9.753721606
33792,-9.733401406
33792,-9.733401377
33792,-9.733401598
33792,-9.733401465
33792,-9.733401509
34816,-9.713080853
34816,-9.713080765
34816,-9.713081
34816,-9.713080337
34816,-9.713080809
35840,-9.69276189
35840,-9.692762067
35840,-9.692761979
35840,-9.692762244
35840,-9.692762126
36864,-9.672444504
36864,-9.672444048
36864,-9.672444165
36864,-9.672444151
36864,-9.672444342
37888,-9.652124466
37888,-9.652124083
37888,-9.65212429
37888,-9.652123966
37888,-9.652124304
38912,-9.63180515
38912,-9.631804502
38912,-9.6318049
38912,-9.631804532
38912,-9.631804473
39936,-9.611484406
39936,-9.61148473
39936,-9.611484214
39936,-9.611484052
39936,-9.611484082
40960,-9.591164353
40960,-9.591164442
40960,-9.591164559
40960,-9.59116478
40960,-9.591164825
41984,-9.570844728
41984,-9.570844801
41984,-9.57084461
41984,-9.570844728
41984,-9.570844993
43008,-9.550525294
43008,-9.550525176
43008,-9.550524852
43008,-9.550525161
43008,-9.550524705
44032,-9.530206582
44032,-9.530206597
44032,-9.530206361
44032,-9.53020639
44032,-9.530206184
45056,-9.509887723
45056,-9.509887723
45056,-9.50988787
45056,-9.509887678
45056,-9.509887767
46080,-9.489568097
46080,-9.489568274
46080,-9.489567965
46080,-9.489568142
46080,-9.489567921
47104,-9.469248781
47104,-9.46924887
47104,-9.469249179
47104,-9.469248767
47104,-9.469250048
48128,-9.44893169
48128,-9.448931351
48128,-9.448931366
48128,-9.448931263
48128,-9.448930997
49152,-9.428612315
49152,-9.428612978
49152,-9.428612786
49152,-9.428612668
49152,-9.428612889
50176,-9.408293529
50176,-9.408293338
50176,-9.408293102
50176,-9.408293264
50176,-9.408293603
51200,-9.387971797
51200,-9.387971768
51200,-9.387971223
51200,-9.387971414
51200,-9.387971267
52224,-9.367653218
52224,-9.367653188
52224,-9.367653056
52224,-9.367652923
52224,-9.367652805
53248,-9.347334771
53248,-9.347335228
53248,-9.347335287
53248,-9.347335508
53248,-9.347334859
54272,-9.327014748
54272,-9.327015558
54272,-9.327015205
54272,-9.327014969
54272,-9.327015057
55296,-9.306696434
55296,-9.306695741
55296,-9.306695182
55296,-9.306695049
55296,-9.306694622
56320,-9.286375763
56320,-9.286376028
56320,-9.286376146
56320,-9.286376087
56320,-9.28637588
57344,-9.266057684
57344,-9.266057846
57344,-9.266057802
57344,-9.266057875
57344,-9.266057846
58368,-9.245738486
58368,-9.245738294
58368,-9.24573853
58368,-9.245738648
58368,-9.245738501
59392,-9.225418065
59392,-9.225417653
59392,-9.225418212
59392,-9.225418198
59392,-9.225418286
60416,-9.205100119
60416,-9.20510009
60416,-9.205100325
60416,-9.205099972
60416,-9.205099898
61440,-9.184781142
61440,-9.184781893
61440,-9.184781613
61440,-9.184781805
61440,-9.184782055
62464,-9.164461281
62464,-9.16446159
62464,-9.164461251
62464,-9.164461354
62464,-9.164461664
63488,-9.144143512
63488,-9.144143541
63488,-9.144143291
63488,-9.144142053
63488,-9.144141744
64512,-9.123823444
64512,-9.123823562
64512,-9.123823651
64512,-9.123823989
64512,-9.123823901
65536,-9.103505351
65536,-9.103505086
65536,-9.103504614
65536,-9.103504585
65536,-9.103504482
66560,-9.0831844
66560,-9.083184533
66560,-9.083184503
66560,-9.083184842
66560,-9.08318412
67584,-9.062862624
67584,-9.062863198
67584,-9.062862639
67584,-9.06286227
67584,-9.062862212
