time,34420a_volt
1710611608.2860231,-2.29e-09
1710611613.5610075,2.23e-09
1710611618.8360348,6.2e-10
1710611624.110965,1.63e-09
1710611629.3862553,1.41e-09
1710611634.6613173,3.28e-09
1710611639.9362266,3.7e-10
1710611645.211066,2.79e-09
1710611650.4861646,-2.16e-09
1710611655.7612276,3.6e-10
1710611661.0363078,1.36e-09
1710611666.311469,1.95e-09
1710611671.5866504,3.52e-09
1710611676.861777,6.2e-10
1710611682.1370416,1.37e-09
1710611687.4123802,-2.9e-09
1710611692.6875594,1.26e-09
1710611697.9626188,4.6e-10
1710611703.237653,-1.7e-10
1710611708.512638,2.34e-09
1710611713.7874658,-2.4e-09
1710611719.0624027,2.48e-09
1710611724.337481,1.15e-09
1710611729.6123443,4.75e-09
1710611734.8873034,-3.1e-10
1710611740.1621978,2.26e-09
1710611745.4368641,6.19e-09
1710611750.7116568,2.3e-09
1710611755.986492,-6.4e-10
1710611761.2613978,1.96e-09
1710611766.5362177,-3e-11
1710611771.8109772,-5.4e-10
1710611777.0858202,3.24e-09
1710611782.3606224,-8.2e-10
1710611787.635419,3.29e-09
1710611792.9103246,3.32e-09
1710611798.1852872,1.44e-09
1710611803.4604013,-9e-11
1710611808.7353454,1.58e-09
1710611814.01026,4e-10
1710611819.2851548,3.14e-09
1710611824.560256,1.01e-09
1710611829.8351822,-4.6e-10
1710611835.110076,-1.55e-09
1710611840.3849654,2.8e-10
1710611845.6598892,2.21e-09
1710611850.9347572,5.3e-10
1710611856.209711,2.11e-09
1710611861.4848444,2.42e-09
1710611866.7599068,3.19e-09
1710611872.0349717,3.01e-09
1710611877.3100078,3.81e-09
1710611882.58523,1.67e-09
1710611887.860452,1.79e-09
1710611893.1356683,4.74e-09
1710611898.4107838,2.1e-10
1710611903.6858177,2.7e-10
1710611908.9609647,1.5e-09
1710611914.2360528,8.5e-10
1710611919.5111215,3.9e-10
1710611924.7863395,9.9e-10
1710611930.0613039,3.93e-09
1710611935.3363144,1.67e-09
1710611940.6114106,2.28e-09
1710611945.886624,1.27e-09
1710611951.1615336,4.77e-09
1710611956.4364147,1.05e-09
1710611961.7116106,2.28e-09
1710611966.9869518,1.96e-09
1710611972.262287,1.36e-09
1710611977.537373,3.03e-09
1710611982.812629,-3.7e-10
1710611988.0876038,7.2e-10
1710611993.3625572,1.96e-09
1710611998.6375635,2.11e-09
1710612003.9126112,-1.28e-09
1710612009.1875546,1.27e-09
1710612014.462473,5.1e-10
1710612019.7373416,3.4e-10
1710612025.012265,2.7e-10
1710612030.287206,9.1e-10
1710612035.5622292,1.27e-09
1710612040.8374326,3.24e-09
1710612046.1125212,1.51e-09
1710612051.3874958,1.58e-09
1710612056.6623673,-6.7e-10
1710612061.937404,-8.5e-10
1710612067.2124846,-4e-11
1710612072.4875884,-3.1e-10
1710612077.762841,8e-10
1710612083.0383341,2.24e-09
1710612088.3139446,2.7e-10
1710612093.5897713,1.64e-09
1710612098.8655033,1e-09
1710612104.1410282,2.46e-09
1710612109.4161546,5.7e-10
1710612114.6909668,4e-10
1710612119.966072,1.21e-09
1710612125.241274,9e-11
1710612130.5167458,9.8e-10
1710612135.791903,1.11e-09
1710612141.066822,1.38e-09
1710612146.3412964,3.82e-09
1710612151.6159043,1.2e-09
1710612156.8903918,1.1e-09
1710612162.1653872,2.27e-09
1710612167.440216,6e-10
1710612172.7147307,2.08e-09
1710612177.989345,2.9e-10
1710612183.2638013,1.25e-09
1710612188.538431,2e-10
1710612193.8129416,-2.7e-10
1710612199.0874746,-1.5e-09
1710612204.3621645,-9.9e-10
1710612209.6369314,-6.8e-10
1710612214.9116333,-6.7e-10
1710612220.1863613,2.1e-10
1710612225.4610274,2e-11
1710612230.7358954,4.3e-10
1710612236.0106378,-3.9e-10
1710612241.2855585,-1.9e-10
1710612246.5603797,-6e-11
1710612251.8351314,-8e-10
1710612257.1097388,5.5e-10
1710612262.384494,2.49e-09
1710612267.6592088,-4.6e-10
1710612272.9339912,-7e-11
1710612278.2089305,9.7e-10
1710612283.4839516,3.35e-09
1710612288.7587779,1.8e-10
1710612294.0335796,4e-11
1710612299.3085089,-1.31e-09
1710612304.5832615,1.2e-09
1710612309.858072,2.12e-09
1710612315.1329777,1.64e-09
1710612320.4078636,1.37e-09
1710612325.6827183,1.1e-09
1710612330.9576495,-2.63e-09
1710612336.232505,8.5e-10
1710612341.5074975,2.04e-09
1710612346.7827442,1.33e-09
1710612352.0578065,2.11e-09
1710612357.332812,2.09e-09
1710612362.6077182,1.46e-09
1710612367.8827178,-2e-10
1710612373.1578004,3.8e-10
1710612378.432977,6.2e-10
1710612383.7081823,1.03e-09
1710612388.983217,9.1e-10
