date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
date;source;duta;dutb;dutc;dutd;sdev;sdev2;sdev3;sdev4;temp;temp2
09202021-23:57:11;-7.100000000;-7.099998964;-7.099999438;0.000000000;0.000000000;4.85547e-08;1.55693e-07;0;0;36.9;37.3
09202021-23:57:33;-7.000000000;-6.999999497;-6.999999770;0.000000000;0.000000000;1.6588e-07;2.22573e-07;0;0;36.9;37.3
09202021-23:57:55;-6.900000000;-6.899998970;-6.899999399;0.000000000;0.000000000;6.97679e-08;8.95669e-08;0;0;36.9;37.3
09202021-23:58:16;-6.800000000;-6.799999533;-6.800000156;0.000000000;0.000000000;7.86935e-08;1.40136e-07;0;0;36.9;37.3
09202021-23:58:38;-6.700000000;-6.699998977;-6.699999315;0.000000000;0.000000000;9.8205e-08;7.82574e-08;0;0;36.9;37.3
09202021-23:58:59;-6.600000000;-6.599998847;-6.599999662;0.000000000;0.000000000;3.03901e-08;4.29133e-08;0;0;36.9;37.3
09202021-23:59:21;-6.500000000;-6.499999145;-6.499999935;0.000000000;0.000000000;6.62185e-08;1.26881e-07;0;0;36.9;37.3
09202021-23:59:43;-6.400000000;-6.399999192;-6.400000135;0.000000000;0.000000000;1.10112e-07;7.98513e-08;0;0;36.9;37.3
09212021-00:00:05;-6.300000000;-6.299999431;-6.300000028;0.000000000;0.000000000;1.99174e-07;1.81447e-07;0;0;36.9;37.3
09212021-00:00:26;-6.200000000;-6.199999214;-6.199999671;0.000000000;0.000000000;1.03984e-07;4.54337e-08;0;0;36.9;37.3
09212021-00:00:48;-6.100000000;-6.099999452;-6.100000047;0.000000000;0.000000000;8.67192e-08;1.40438e-07;0;0;36.9;37.3
09212021-00:01:09;-6.000000000;-5.999999426;-6.000000100;0.000000000;0.000000000;7.90668e-08;7.26193e-08;0;0;36.9;37.3
09212021-00:01:31;-5.900000000;-5.899999960;-5.900000301;0.000000000;0.000000000;8.34386e-08;7.07107e-09;0;0;36.9;37.3
09212021-00:01:53;-5.800000000;-5.799999315;-5.799999812;0.000000000;0.000000000;9.75807e-08;7.21988e-08;0;0;36.9;37.3
09212021-00:02:14;-5.700000000;-5.699999362;-5.700000173;0.000000000;0.000000000;3.02704e-07;1.46944e-07;0;0;36.9;37.3
09212021-00:02:36;-5.600000000;-5.599999336;-5.600000065;0.000000000;0.000000000;2.02637e-07;1.09755e-07;0;0;37.0;37.3
09212021-00:02:57;-5.500000000;-5.499999648;-5.500000060;0.000000000;0.000000000;1.73238e-07;3.48839e-08;0;0;37.0;37.3
09212021-00:03:19;-5.400000000;-5.399999210;-5.399999806;0.000000000;0.000000000;6.82788e-08;9.77559e-08;0;0;36.9;37.3
09212021-00:03:40;-5.300000000;-5.299999581;-5.299999903;0.000000000;0.000000000;8.66192e-08;6.0013e-08;0;0;37.0;37.3
09212021-00:04:02;-5.200000000;-5.199999658;-5.200000368;0.000000000;0.000000000;6.60454e-08;7.76588e-08;0;0;37.0;37.3
09212021-00:04:24;-5.100000000;-5.099999970;-5.100000201;0.000000000;0.000000000;2.02492e-07;7.17697e-08;0;0;36.9;37.3
09212021-00:04:45;-5.000000000;-4.999999487;-4.999999947;0.000000000;0.000000000;3.48839e-08;3.8439e-08;0;0;37.0;37.3
09212021-00:05:07;-4.900000000;-4.899999535;-4.899999912;0.000000000;0.000000000;1.53871e-07;6.0013e-08;0;0;37.0;37.3
09212021-00:05:29;-4.800000000;-4.799999597;-4.800000186;0.000000000;0.000000000;2.50377e-08;1.08641e-07;0;0;37.0;37.3
09212021-00:05:50;-4.700000000;-4.699999629;-4.700000386;0.000000000;0.000000000;1.06837e-07;1.1078e-07;0;0;37.0;37.3
