vref,3458A_volt,3458B_volt,W4950_volt
-10.0,-9.999969584,-10.00002815,-9.99988
-9.5,-9.499971407,-9.500027812,-9.499886
-9.0,-8.999973511,-9.000027206,-8.999892
-8.5,-8.499974259,-8.500026938,-8.499898
-8.0,-7.999975552,-8.000026816,-7.999904
-7.5,-7.499976551,-7.50002665,-7.49991
-7.0,-6.999978669,-7.000025839,-6.999916
-6.5,-6.499980757,-6.500026083,-6.499922
-6.0,-5.999982242,-6.000025786,-5.999928
-5.5,-5.499984316,-5.500025502,-5.499933
-5.0,-4.999985433,-5.000024794,-4.999939
-4.5,-4.499986623,-4.500024423,-4.499945
-4.0,-3.999988328,-4.00002389,-3.999951
-3.5,-3.499990417,-3.500024149,-3.499957
-3.0,-2.999991872,-3.000022972,-2.999963
-2.5,-2.49999349,-2.500022542,-2.499969
-2.0,-1.999995181,-2.000022493,-1.999975
-1.5,-1.499996739,-1.500021624,-1.499981
-1.0,-0.9999985036,-1.000022132,-0.999988
-0.5,-0.4999995906,-0.5000211157,-0.499993
0.0,-5.892052161e-08,-1.942508397e-05,1e-06
0.5,0.4999991929,0.4999817671,0.500003
1.0,0.9999976639,0.9999824315,1.000003
1.5,1.499995428,1.49998226,1.500002
2.0,1.999994179,1.999982763,2.000002
2.5,2.499992238,2.499983223,2.500002
3.0,2.999990547,2.999983828,3.000002
3.5,3.499988988,3.499984669,3.500002
4.0,3.999987253,3.999984571,4.000002
4.5,4.49998568,4.499985118,4.500002
5.0,4.99998365,4.999985519,5.000002
5.5,5.499982534,5.49998611,5.500002
6.0,5.999980902,5.999986554,6.000002
6.5,6.499979005,6.499986793,6.500002
7.0,6.999977402,6.999987355,7.000001
7.5,7.499975431,7.499987536,7.500002
8.0,7.999973858,7.999988347,8.000001
8.5,8.499972476,8.499988806,8.500002
9.0,8.999970844,8.999989427,9.000001
9.5,9.499968859,9.499989505,9.500001
10.0,9.999967006,9.99998989,10.000001
