# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394137,25.394
16384,-10.07883154,25.394
32768,-9.753724955,25.394
49152,-9.428614243,25.393
65536,-9.103507214,25.392
81920,-8.778399155,25.392
98304,-8.453290947,25.391
114688,-8.128182151,25.39
131072,-7.803073354,25.389
147456,-7.477965442,25.389
163840,-7.152855614,25.388
180224,-6.827746671,25.387
196608,-6.502638905,25.387
212992,-6.177529372,25.386
229376,-5.852418956,25.386
245760,-5.527312663,25.385
262144,-5.20220372,25.385
278528,-4.87709345,25.385
294912,-4.551983623,25.385
311296,-4.226876152,25.384
327680,-3.901766766,25.384
344064,-3.576658412,25.383
360448,-3.251550057,25.382
376832,-2.926439935,25.381
393216,-2.601331286,25.381
409600,-2.276223226,25.381
425984,-1.951111925,25.38
442368,-1.626005928,25.38
458752,-1.300894922,25.379
475136,-0.9757870091,25.378
491520,-0.6506765924,25.377
507904,-0.3255695636,25.376
524288,-0.0004594414268,25.375
540672,0.3246487658,25.375
557056,0.6497537323,25.374
573440,0.9748651802,25.373
589824,1.299973093,25.373
606208,1.625082184,25.372
622592,1.950189802,25.372
638976,2.275298893,25.372
655360,2.600406805,25.371
671744,2.92551737,25.371
688128,3.250623515,25.37
704512,3.575735846,25.37
720896,3.900843464,25.369
737280,4.225952997,25.368
753664,4.551060762,25.368
770048,4.876172652,25.367
786432,5.201279828,25.367
802816,5.52638833,25.367
819200,5.851496243,25.366
835584,6.176608427,25.366
851968,6.501716782,25.366
868352,6.826825873,25.365
884736,7.151933785,25.365
901120,7.477043908,25.365
917504,7.802152851,25.365
933888,8.127262384,25.364
950272,8.452369266,25.363
966656,8.777482481,25.363
983040,9.102590394,25.362
999424,9.427698454,25.362
1015808,9.752807987,25.361
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 25dac_counts,3458A_volt,arroyo_temperature
0,-10.40394093,25.361
16384,-10.07883301,25.36
32768,-9.753724071,25.36
49152,-9.428614096,25.359
65536,-9.103507214,25.359
81920,-8.778400922,25.359
98304,-8.453290947,25.358
114688,-8.128180383,25.358
131072,-7.803072765,25.358
147456,-7.477964705,25.357
163840,-7.152857235,25.357
180224,-6.827746965,25.356
196608,-6.50263758,25.356
212992,-6.177529225,25.355
229376,-5.852419397,25.355
245760,-5.527313253,25.354
262144,-5.202202836,25.354
278528,-4.877093892,25.353
294912,-4.551982886,25.353
311296,-4.226875415,25.352
327680,-3.901767355,25.351
344064,-3.576657822,25.351
360448,-3.25154991,25.35
376832,-2.92644023,25.35
393216,-2.601330844,25.349
409600,-2.276223373,25.348
425984,-1.951113693,25.348
442368,-1.626007843,25.347
458752,-1.300896247,25.347
475136,-0.975787893,25.347
491520,-0.6506771816,25.346
507904,-0.3255686798,25.346
524288,-0.0004600306432,25.346
540672,0.3246480293,25.345
557056,0.6497529958,25.345
573440,0.9748650329,25.344
589824,1.299972651,25.344
606208,1.625082184,25.343
622592,1.950189213,25.343
638976,2.275298598,25.342
655360,2.600406805,25.342
671744,2.925517959,25.341
688128,3.250624104,25.341
704512,3.575735257,25.34
720896,3.900843906,25.34
737280,4.225951966,25.339
753664,4.551058995,25.339
770048,4.876170885,25.338
786432,5.201279239,25.337
802816,5.526390098,25.337
819200,5.851496832,25.336
835584,6.176606807,25.336
851968,6.501716193,25.335
868352,6.826825431,25.335
884736,7.151932165,25.335
901120,7.477044055,25.335
917504,7.802152409,25.334
933888,8.127264594,25.334
950272,8.452370444,25.334
966656,8.777481892,25.333
983040,9.102591425,25.333
999424,9.427699779,25.332
1015808,9.752807839,25.331
# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 30dac_counts,3458A_volt,arroyo_temperature
0,-10.40394049,25.33
16384,-10.07883228,25.33
32768,-9.75372466,25.33
49152,-9.428615716,25.329
65536,-9.10350854,25.329
81920,-8.778400186,25.328
98304,-8.453290211,25.328
114688,-8.128181709,25.327
131072,-7.803072176,25.327
147456,-7.477966031,25.327
163840,-7.152856498,25.326
180224,-6.82774726,25.326
196608,-6.502638758,25.325
212992,-6.17752893,25.325
229376,-5.852421018,25.325
245760,-5.527311632,25.324
262144,-5.202203278,25.324
278528,-4.87709566,25.323
294912,-4.551983181,25.323
311296,-4.226874973,25.322
327680,-3.901766324,25.322
