time,3458B_volt
1721672438.2654102,-1.114193865e-05
1721672446.3055906,-1.118591998e-05
1721672454.3459065,-1.100999464e-05
1721672462.3864248,-1.114193865e-05
1721672470.4270573,-1.122990132e-05
1721672478.467705,-1.121524087e-05
1721672486.5083423,-1.106863642e-05
1721672494.5489223,-1.115659909e-05
1721672502.5891457,-1.120058043e-05
1721672510.6294997,-1.120058043e-05
1721672518.6701283,-1.11272782e-05
1721672526.7106917,-1.109795731e-05
1721672534.751203,-1.109795731e-05
1721672542.7916687,-1.124456176e-05
1721672550.8321698,-1.114193865e-05
1721672558.8724732,-1.120058043e-05
1721672566.912931,-1.103931553e-05
1721672574.953443,-1.127388266e-05
1721672582.9938955,-1.109795731e-05
1721672591.0344172,-1.125922221e-05
1721672599.0751054,-1.125922221e-05
1721672607.1155353,-1.114193865e-05
1721672615.1558998,-1.120058043e-05
1721672623.1965384,-1.124456176e-05
1721672631.2370393,-1.121524087e-05
1721672639.2776911,-1.109795731e-05
1721672647.3183193,-1.127388266e-05
1721672655.3585186,-1.130320355e-05
1721672663.399076,-1.109795731e-05
1721672671.4397848,-1.12885431e-05
1721672679.4802375,-1.114193865e-05
1721672687.520811,-1.111261775e-05
1721672695.5613012,-1.114193865e-05
1721672703.6016786,-1.127388266e-05
1721672711.6423771,-1.111261775e-05
1721672719.6827023,-1.121524087e-05
1721672727.7230234,-1.121524087e-05
1721672735.7631366,-1.118591998e-05
1721672743.8036063,-1.122990132e-05
1721672751.843733,-1.118591998e-05
1721672759.8842206,-1.11272782e-05
1721672767.9248822,-1.115659909e-05
1721672775.9654372,-1.115659909e-05
1721672784.006155,-1.111261775e-05
1721672792.0465376,-1.131786399e-05
1721672800.0872347,-1.111261775e-05
1721672808.127771,-1.103931553e-05
1721672816.1682801,-1.11272782e-05
1721672824.2087262,-1.108329686e-05
1721672832.2493963,-1.124456176e-05
1721672840.2898097,-1.125922221e-05
1721672848.3301961,-1.108329686e-05
1721672856.3705728,-1.108329686e-05
1721672864.4110107,-1.106863642e-05
1721672872.451532,-1.11272782e-05
1721672880.491916,-1.108329686e-05
1721672888.5323904,-1.093669241e-05
1721672896.5725918,-1.120058043e-05
1721672904.6129937,-1.100999464e-05
1721672912.653574,-1.103931553e-05
1721672920.693936,-1.105397597e-05
1721672928.7344382,-1.098067374e-05
1721672936.7745407,-1.092203196e-05
1721672944.8151758,-1.109795731e-05
1721672952.8557942,-1.106863642e-05
1721672960.896187,-1.109795731e-05
1721672968.93663,-1.124456176e-05
1721672976.977293,-1.114193865e-05
1721672985.0175722,-1.098067374e-05
1721672993.0581994,-1.108329686e-05
1721673001.098656,-1.117125954e-05
1721673009.1391563,-1.106863642e-05
1721673017.1792922,-1.118591998e-05
1721673025.2197962,-1.095135285e-05
1721673033.2603743,-1.11272782e-05
1721673041.300847,-1.089271107e-05
1721673049.3413422,-1.099533419e-05
1721673057.3818028,-1.106863642e-05
1721673065.4225724,-1.111261775e-05
1721673073.463187,-1.108329686e-05
1721673081.50374,-1.106863642e-05
1721673089.544117,-1.100999464e-05
1721673097.5847168,-1.115659909e-05
1721673105.6252515,-1.122990132e-05
1721673113.6656737,-1.111261775e-05
1721673121.7062058,-1.114193865e-05
1721673129.7467253,-1.120058043e-05
1721673137.787165,-1.124456176e-05
1721673145.82759,-1.115659909e-05
1721673153.8681192,-1.111261775e-05
1721673161.9087405,-1.125922221e-05
1721673169.9489188,-1.120058043e-05
1721673177.9893117,-1.100999464e-05
1721673186.029679,-1.109795731e-05
1721673194.0702028,-1.117125954e-05
1721673202.110748,-1.117125954e-05
1721673210.1514251,-1.114193865e-05
1721673218.1919425,-1.118591998e-05
