# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
0,-10.40393579
0,-10.4039361
0,-10.40393532
0,-10.40393556
0,-10.4039356
1024,-10.38361577
1024,-10.38361562
1024,-10.38361545
1024,-10.38361609
1024,-10.38361519
2048,-10.36329544
2048,-10.3632951
2048,-10.36329516
2048,-10.36329548
2048,-10.36329452
3072,-10.34297537
3072,-10.34297563
3072,-10.34297519
3072,-10.34297568
3072,-10.34297695
4096,-10.32265769
4096,-10.32265784
4096,-10.32265761
4096,-10.32265747
4096,-10.32265745
5120,-10.30233775
5120,-10.30233744
5120,-10.30233777
5120,-10.30233762
5120,-10.30233768
6144,-10.28201822
6144,-10.28201841
6144,-10.28201832
6144,-10.28201853
6144,-10.28201876
7168,-10.26169894
7168,-10.26169912
7168,-10.26169893
7168,-10.26169856
7168,-10.26169822
8192,-10.24137913
8192,-10.24137936
8192,-10.24137936
8192,-10.24137926
8192,-10.24137973
9216,-10.22106015
9216,-10.22106005
9216,-10.22106036
9216,-10.2210605
9216,-10.22106034
10240,-10.20074083
10240,-10.2007408
10240,-10.20074064
10240,-10.20074054
10240,-10.2007406
11264,-10.18042175
11264,-10.18042171
11264,-10.18042102
11264,-10.18042158
11264,-10.18042221
12288,-10.16010279
12288,-10.16010298
12288,-10.16010251
12288,-10.16010266
12288,-10.16010236
13312,-10.13978278
13312,-10.13978236
13312,-10.1397825
13312,-10.13978262
13312,-10.13978255
14336,-10.11946404
14336,-10.119464
14336,-10.11946376
14336,-10.11946326
14336,-10.11946356
15360,-10.09914436
15360,-10.09914421
15360,-10.09914443
15360,-10.09914427
15360,-10.09914417
16384,-10.07882729
16384,-10.07882731
16384,-10.07882759
16384,-10.07882752
16384,-10.07882775
17408,-10.05850751
17408,-10.05850783
17408,-10.05850773
17408,-10.05850782
17408,-10.05850823
18432,-10.0381871
18432,-10.038187
18432,-10.03818628
18432,-10.0381866
18432,-10.03818654
19456,-10.01786833
19456,-10.01786859
19456,-10.01786882
19456,-10.01786889
19456,-10.01786857
20480,-9.997550015
20480,-9.997550089
20480,-9.997550192
20480,-9.997549868
20480,-9.997550325
21504,-9.97723176
21504,-9.977231421
21504,-9.977231259
21504,-9.977231303
21504,-9.977231465
22528,-9.956912046
22528,-9.956912208
22528,-9.956911914
22528,-9.95691181
22528,-9.956912017
23552,-9.936591655
23552,-9.936591846
23552,-9.936592023
23552,-9.936591905
23552,-9.936591817
24576,-9.916274813
24576,-9.916274563
24576,-9.916274474
24576,-9.916274548
24576,-9.916274784
25600,-9.895954054
25600,-9.895953833
25600,-9.8959537
25600,-9.895954068
25600,-9.895953464
26624,-9.875632778
26624,-9.87563266
26624,-9.875632985
26624,-9.875632881
26624,-9.875633191
