vref,hpm1_counts,hpm2_counts
-9.0,816680990.4608,815355300.3207
-9.0,816681012.9692,815355299.3797
-9.0,816680985.4218,815355284.2276
-9.0,816681013.3892,815355272.9711
-9.0,816680956.0661,815355261.1348
-9.0,816680981.1712,815355258.0208
-9.0,816680983.9724,815355258.2151
-9.0,816680894.4873,815355237.0914
-9.0,816681004.0127,815355329.6465
-9.0,816681042.0258,815355280.551
-9.0,816681006.1777,815355239.715
-9.0,816681022.9562,815355253.1979
-9.0,816680976.7483,815355260.6644
-9.0,816681004.6136,815355236.8435
-9.0,816681040.6388,815355301.208
-9.0,816681004.0106,815355265.1288
-9.0,816680957.6888,815355254.652
-9.0,816680983.3171,815355332.0416
-9.0,816680925.1193,815355290.0614
-9.0,816681008.0674,815355293.0353
-9.0,816680989.7528,815355233.7712
-9.0,816680959.7431,815355245.4178
-9.0,816681014.4812,815355241.3764
-9.0,816680952.7735,815355191.1743
-9.0,816681026.2943,815355211.9777
-9.0,816680984.7771,815355212.3157
-9.0,816681009.5724,815355237.2987
-9.0,816681009.9536,815355272.9511
-9.0,816681015.7173,815355232.8851
-9.0,816680976.6632,815355194.5122
-9.0,816680993.7657,815355231.4807
-9.0,816681029.0536,815355222.8787
-9.0,816680994.5474,815355192.3948
-9.0,816681012.1061,815355214.1526
-9.0,816680999.3892,815355301.61
-9.0,816680993.1722,815355247.1127
-9.0,816681051.8362,815355210.9392
-9.0,816681052.8986,815355227.8207
-9.0,816681052.9898,815355234.0705
-9.0,816680999.2237,815355208.049
-9.0,816680992.6918,815355164.0275
-9.0,816680993.5855,815355194.1952
-9.0,816680992.7198,815355227.5806
-9.0,816681022.2256,815355234.2238
-9.0,816681010.9749,815355190.9187
-8.5,890612405.0752,889359254.6383
-8.5,890612365.2018,889359252.6821
-8.5,890612400.8065,889359296.6725
-8.5,890612386.4269,889359300.4368
-8.5,890612444.2531,889359259.3565
-8.5,890612357.8977,889359267.246
-8.5,890612381.7167,889359289.1881
-8.5,890612361.6818,889359310.3248
-8.5,890612363.3124,889359285.791
-8.5,890612386.3918,889359281.2526
-8.5,890612379.9219,889359234.1362
-8.5,890612404.9223,889359259.3451
-8.5,890612420.1362,889359279.4274
-8.5,890612398.6732,889359269.9404
-8.5,890612412.0481,889359297.5809
-8.5,890612357.4976,889359287.6505
-8.5,890612379.7779,889359289.6369
-8.5,890612358.3786,889359221.3393
-8.5,890612319.392,889359214.5033
-8.5,890612400.6842,889359283.3877
-8.5,890612299.8747,889359278.1315
-8.5,890612382.5648,889359245.1091
-8.5,890612327.8297,889359210.7427
-8.5,890612428.7493,889359278.1312
-8.5,890612326.7809,889359248.0607
-8.5,890612406.9583,889359261.8947
-8.5,890612408.5052,889359339.2282
-8.5,890612457.604,889359311.1917
-8.5,890612370.3613,889359316.3459
-8.5,890612365.7257,889359316.6772
-8.5,890612363.4499,889359290.0583
-8.5,890612389.1292,889359248.4003
-8.5,890612328.2047,889359256.306
-8.5,890612363.8417,889359264.9779
-8.5,890612409.9229,889359388.2812
-8.5,890612412.4729,889359353.7875
-8.5,890612371.307,889359295.8102
-8.5,890612387.262,889359250.2564
-8.5,890612423.1483,889359277.6719
-8.5,890612393.1604,889359322.3191
-8.5,890612326.1308,889359297.5479
-8.5,890612398.7752,889359245.2263
-8.5,890612366.8375,889359301.0398
-8.5,890612423.5754,889359309.9857
-8.5,890612437.2143,889359327.4163
-8.5,890612409.5001,889359266.3031
-8.5,890612415.3476,889359223.0721
-8.5,890612355.6072,889359271.768
-8.5,890612350.7508,889359218.8412
-8.5,890612388.2614,889359266.1658
-8.5,890612427.0234,889359278.1617
-8.5,890612436.2298,889359294.0609
-8.5,890612399.8502,889359227.814
-8.5,890612379.6191,889359257.0063
-8.5,890612394.0852,889359254.0434
-8.5,890612402.843,889359297.524
-8.5,890612355.0976,889359201.2422
-8.5,890612330.7915,889359232.6441
-8.5,890612348.9498,889359265.4254
-8.5,890612333.157,889359236.2177
-8.5,890612337.9844,889359237.9575
-8.5,890612387.6174,889359256.0237
-8.5,890612309.8142,889359231.5391
-8.5,890612350.8541,889359299.4994
-8.5,890612333.8926,889359273.7393
-8.5,890612368.517,889359279.5176
-8.5,890612403.6573,889359299.584
-8.5,890612322.7365,889359300.9933
-8.5,890612342.6358,889359293.9038
-8.5,890612381.81,889359313.4418
-8.5,890612403.8026,889359275.2004
-8.5,890612376.3282,889359252.2763
-8.5,890612399.6466,889359302.5966
-8.5,890612377.9759,889359294.4626
-8.5,890612423.1698,889359297.5182
-8.5,890612358.8437,889359262.5966
-8.5,890612428.0019,889359318.6595
-8.5,890612364.0461,889359287.2403
-8.5,890612364.1597,889359299.0607
-8.5,890612432.8787,889359286.7133
-8.5,890612373.814,889359309.6071
-8.5,890612370.4868,889359277.4653
-8.5,890612338.6865,889359320.8801
-8.5,890612342.8614,889359308.2981
-8.5,890612417.8716,889359357.1829
-8.5,890612422.5162,889359225.8007
-8.5,890612440.6249,889359255.9405
