"Time","3458A"
1663401530000,9.99628816
1663401640000,9.99628815
1663401740000,9.99628771
1663401850000,9.99628745
1663401950000,9.99628807
1663402060000,9.99628825
1663402160000,9.99628791
1663402270000,9.99628791
1663402370000,9.99628784
1663402480000,9.9962884
1663402580000,9.99628815
1663402690000,9.99628793
1663402790000,9.99628771
1663402900000,9.99628769
1663403000000,9.99628837
1663403110000,9.99628899
1663403210000,9.99628784
1663403320000,9.99628815
1663403420000,9.99628806
1663403520000,9.99628825
1663403630000,9.99628803
1663403730000,9.99628843
1663403840000,9.99628844
1663403940000,9.9962884
1663404050000,9.99628844
1663404150000,9.99628819
1663404260000,9.99628801
1663404360000,9.99628788
1663404470000,9.99628843
1663404570000,9.99628729
1663404680000,9.99628788
1663404780000,9.99628854
1663404890000,9.99628828
1663404990000,9.99628826
1663405100000,9.99628831
1663405200000,9.99628794
1663405310000,9.99628769
1663405410000,9.99628803
1663405520000,9.9962881
1663405620000,9.99628834
1663405730000,9.99628793
1663405830000,9.99628819
1663405940000,9.99628762
1663406040000,9.99628779
1663406140000,9.99628835
1663406250000,9.99628887
1663406350000,9.99628894
1663406460000,9.99628891
1663406560000,9.99628854
1663406670000,9.99628907
1663406770000,9.99628924
1663406880000,9.99628876
1663406980000,9.9962886
1663407090000,9.99628832
1663407190000,9.99628834
1663407300000,9.99628871
1663407400000,9.99628843
1663407510000,9.9962889
1663407610000,9.996289
1663407720000,9.99628918
1663407820000,9.996289
1663407930000,9.99628941
1663408030000,9.9962876
1663408140000,9.99628822
1663408450000,9.99628985
1663408560000,9.99628898
1663408660000,9.9962889
1663408760000,9.9962891
1663408870000,9.99628905
1663408970000,9.99628864
1663409080000,9.99628954
1663409180000,9.99628896
1663409290000,9.99628901
1663409390000,9.99628867
1663409500000,9.99628867
1663409600000,9.9962893
1663409710000,9.99628914
1663409810000,9.99628905
1663409920000,9.99628867
1663410020000,9.99628817
1663410130000,9.99628874
1663410230000,9.99628904
1663410340000,9.99628771
1663410440000,9.99628846
1663410550000,9.99628859
1663410650000,9.99628886
1663410760000,9.99628932
1663410860000,9.99628865
1663410970000,9.99628902
1663411070000,9.99628933
1663411180000,9.99628957
1663411280000,9.99628933
1663411380000,9.99628901
1663411490000,9.9962888
1663411590000,9.99628814
1663411700000,9.99628821
1663411800000,9.99628852
1663411910000,9.9962884
1663412010000,9.99628861
1663412120000,9.99628831
1663412220000,9.99628843
1663412330000,9.99628834
1663412430000,9.99628868
1663412540000,9.99628846
1663412640000,9.99628855
1663412750000,9.99628857
1663412850000,9.99628799
1663412960000,9.99628865
1663413060000,9.9962887
1663413170000,9.99628843
1663413270000,9.99628818
1663413380000,9.99628798
1663413480000,9.99628938
1663413590000,9.99628896
1663413690000,9.9962889
1663413800000,9.99628876
1663413900000,9.99628868
1663414000000,9.99628839
1663414110000,9.99628815
1663414210000,9.99628778
1663414320000,9.99628812
1663414420000,9.99628889
1663414530000,9.99628836
1663414630000,9.99628842
1663414740000,9.99628842
1663414840000,9.99628778
1663414950000,9.99628882
1663415050000,9.99628834
1663415160000,9.99628845
1663415260000,9.99628781
1663415370000,9.99628821
1663415470000,9.99628737
1663415580000,9.99628727
1663415790000,9.99628943
1663415890000,9.99628901
1663416000000,9.99628923
1663416100000,9.99628989
1663416210000,9.99628873
1663416310000,9.99628858
1663416420000,9.99628843
1663416520000,9.99628921
1663416620000,9.99629029
1663416730000,9.9962899
1663416830000,9.99629005
1663416940000,9.99628923
1663417040000,9.99628904
1663417150000,9.9962897
1663417250000,9.99628982
1663417360000,9.99628937
1663417460000,9.99628895
1663417570000,9.99628895
1663417670000,9.99628858
1663417780000,9.99628911
1663417880000,9.99628926
1663417990000,9.99628886
1663418090000,9.99628914
1663418200000,9.99628864
1663418300000,9.99628924
1663418410000,9.99628901
1663418510000,9.99628852
1663418620000,9.9962887
1663418720000,9.99628881
1663418830000,9.99628957
1663418930000,9.99628949
1663419040000,9.99628933
1663419140000,9.99628896
1663419240000,9.99628867
1663419350000,9.99628877
1663419450000,9.99628879
1663419560000,9.99628902
1663419660000,9.99628923
1663419770000,9.99628876
1663419870000,9.99628898
1663419980000,9.99628951
1663420080000,9.99628877
1663420190000,9.99628893
1663420290000,9.99628861
1663420400000,9.99628848
1663420500000,9.99628884
1663420610000,9.99628877
1663420710000,9.99628877
1663420820000,9.9962884
1663420920000,9.99628824
1663421030000,9.99628877
1663421130000,9.99628904
1663421240000,9.99628914
1663421340000,9.99628904
1663421450000,9.99628858
1663421550000,9.99628845
1663421660000,9.99628904
1663421760000,9.99628834
1663421860000,9.99628775
1663421970000,9.99628839
1663422070000,9.99628911
1663422180000,9.99628886
1663422280000,9.99628923
1663422390000,9.99628881
1663422490000,9.99628876
1663422600000,9.99628887
1663422700000,9.99628876
1663422810000,9.99628846
1663422910000,9.99628871
1663423230000,9.99628965
1663423330000,9.99629011
1663423440000,9.99628908
1663423540000,9.99628909
1663423650000,9.99628897
1663423750000,9.99628903
1663423860000,9.99628888
1663423960000,9.99628933
1663424070000,9.99628928
1663424170000,9.99628897
1663424280000,9.99628966
1663424380000,9.99628925
1663424480000,9.99628966
1663424590000,9.9962889
1663424690000,9.99628887
1663424800000,9.99628918
1663424900000,9.99628958
1663425010000,9.99628919
1663425110000,9.99628916
1663425220000,9.9962894
1663425320000,9.99628971
1663425430000,9.99628947
1663425530000,9.99628965
1663425640000,9.9962895
1663425740000,9.99628937
1663425850000,9.99628916
1663425950000,9.99628959
1663426060000,9.99628875
1663426160000,9.99628887
1663426270000,9.99628903
1663426370000,9.99628943
1663426480000,9.99628869
1663426580000,9.99628902
1663426690000,9.99628928
1663426790000,9.99628933
1663426900000,9.99628918
1663427000000,9.99628896
1663427100000,9.99628924
1663427210000,9.99628921
1663427310000,9.99628881
1663427420000,9.99628896
1663427520000,9.99628913
1663427630000,9.99628912
1663427730000,9.99628872
1663427840000,9.996289
1663427940000,9.99628878
1663428050000,9.99628865
1663428150000,9.99628865
1663428260000,9.9962886
1663428360000,9.99628857
1663428470000,9.99628871
1663428570000,9.9962884
1663428680000,9.99628883
1663428780000,9.99628975
