vref,3458A_volt,3458B_volt,3458F_volt
-10.0,-10.00039008,-10.00038374,-10.00039251
-9.5,-9.500371153,-9.500365007,-9.500373362
-9.0,-9.000351104,-9.000345574,-9.000352968
-8.5,-8.500331704,-8.500326655,-8.500333302
-8.0,-8.000312333,-8.000308073,-8.000314348
-7.5,-7.500293036,-7.500288479,-7.500294177
-7.0,-7.000273577,-7.000269546,-7.00027506
-6.5,-6.500254044,-6.500249688,-6.5002548
-6.0,-6.000234364,-6.000230564,-6.000235431
-5.5,-5.500214448,-5.500211659,-5.500215379
-5.0,-5.000196094,-5.000192637,-5.000196588
-4.5,-4.50017715,-4.500173586,-4.500177145
-4.0,-4.000157058,-4.000153875,-4.000156974
-3.5,-3.50013779,-3.500134839,-3.500137946
-3.0,-3.000118611,-3.000115465,-3.000118502
-2.5,-2.500099697,-2.500096634,-2.500098836
-2.0,-2.000079324,-2.000076659,-2.000078799
-1.5,-1.500059939,-1.500057476,-1.500059474
-1.0,-1.000040612,-1.000038366,-1.000040179
-0.5,-0.5000212267,-0.5000190658,-0.5000205718
0.0,-1.163666447e-06,1.290110961e-06,5.938016743e-08
0.5,0.4999825901,0.4999847019,0.4999836819
1.0,0.9999656368,0.9999672488,0.9999665176
1.5,1.499948448,1.499950045,1.499949546
2.0,1.999930802,1.999932592,1.999932575
2.5,2.499913716,2.499914845,2.49991547
3.0,2.999897072,2.999898507,2.999898632
3.5,3.499879559,3.499880614,3.499881186
4.0,3.999862606,3.999863908,3.999864467
4.5,4.49984524,4.499846587,4.499847139
5.0,4.999827683,4.999828503,4.9998295
5.5,5.499810759,5.499811417,5.499812647
6.0,5.999793187,5.999794052,5.9997948
6.5,6.499777088,6.499777639,6.499778601
7.0,6.999760017,6.999760069,6.999760783
7.5,7.499742062,7.499742191,7.499743293
8.0,7.999725359,7.999725177,7.999726663
8.5,8.499708524,8.4997079,8.499709558
9.0,8.999690893,8.999690301,8.999692319
9.5,9.499674544,9.499673624,9.499675526
10.0,9.999656942,9.999656025,9.999658436
