# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,Run 1,Run 2,Run 3,Run 4,Run 5
0,-10.403949,-10.40394717,-10.40394695,-10.40394797,-10.40394699
1024,-10.38362918,-10.38362703,-10.38362771,-10.38362828,-10.38362705
2048,-10.36330965,-10.36330745,-10.36330739,-10.36330918,-10.36330733
3072,-10.34299041,-10.34298817,-10.34298753,-10.34298989,-10.34298805
4096,-10.32267136,-10.32266907,-10.32266863,-10.32267056,-10.32266963
5120,-10.30235087,-10.3023492,-10.30234891,-10.3023507,-10.30234927
6144,-10.28203176,-10.28203008,-10.28202953,-10.28203145,-10.28202975
7168,-10.26171181,-10.26171065,-10.26171006,-10.261712,-10.26171081
8192,-10.2413927,-10.24139099,-10.24139074,-10.24139202,-10.24139148
9216,-10.22107312,-10.22107169,-10.22107108,-10.22107274,-10.22107166
10240,-10.2007536,-10.20075091,-10.20075132,-10.20075297,-10.20075117
11264,-10.18043455,-10.18043217,-10.18043224,-10.18043461,-10.18043254
12288,-10.16011571,-10.16011328,-10.16011377,-10.16011497,-10.1601133
13312,-10.13979537,-10.1397938,-10.13979347,-10.13979503,-10.13979329
14336,-10.11947626,-10.11947464,-10.11947427,-10.11947576,-10.1194742
15360,-10.09915724,-10.09915547,-10.09915484,-10.09915678,-10.09915501
16384,-10.07884041,-10.07883848,-10.07883813,-10.07883965,-10.07883756
17408,-10.05852098,-10.05851824,-10.05851805,-10.05851961,-10.0585182
18432,-10.03819968,-10.03819791,-10.03819772,-10.03819882,-10.03819754
19456,-10.01788098,-10.017879,-10.01787908,-10.01787976,-10.01787897
20480,-9.997562907,-9.997560462,-9.997561404,-9.997561949,-9.997560918
21504,-9.977242753,-9.977241118,-9.977241472,-9.977242193,-9.977241103
22528,-9.95692341,-9.956921303,-9.956921878,-9.956922835,-9.956921774
23552,-9.936603771,-9.93660193,-9.936602181,-9.936603595,-9.936601842
24576,-9.916286269,-9.91628406,-9.916284649,-9.916285783,-9.916284251
25600,-9.89596641,-9.895964642,-9.895964716,-9.895966587,-9.89596451
26624,-9.875647243,-9.875645004,-9.875644562,-9.875646286,-9.875644842
