# INL run# soak = 1# samples_per_meter_per_step = 1# NPLC = 1# Temp = 20dac_counts,3458A_volt,arroyo_temperature
0,-10.40394211,26.316
16384,-10.07883243,26.316
32768,-9.753725102,26.316
49152,-9.428617484,26.316
65536,-9.103508246,26.316
81920,-8.778399596,26.316
98304,-8.453290358,26.317
114688,-8.128181414,26.317
131072,-7.803072029,26.317
147456,-7.477966326,26.317
163840,-7.152855762,26.317
180224,-6.827746081,26.317
196608,-6.502638611,26.317
212992,-6.177529078,26.316
229376,-5.852418956,26.316
245760,-5.527311632,26.316
262144,-5.20220313,26.316
278528,-4.877093892,26.316
294912,-4.551982444,26.316
