# INL run# soak = 5# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt,3458B_volt,ambient_temp
14336,-10.11947632,-10.11953186,21.3600398555398
14336,-10.11947617,-10.11953179,21.34972975051496
14336,-10.11947621,-10.11953154,21.354884802881863
14336,-10.11947599,-10.11953216,21.34972975051496
14336,-10.11947649,-10.11953197,21.34972975051496
15360,-10.09915759,-10.09921253,21.334264595160494
15360,-10.09915733,-10.09921281,21.32910954395775
15360,-10.09915761,-10.09921271,21.31879944242537
15360,-10.09915725,-10.09921284,21.308489342057147
15360,-10.09915715,-10.09921269,21.31879944242537
16384,-10.07884019,-10.07889548,21.308489342057147
16384,-10.07884027,-10.07889547,21.32910954395775
16384,-10.07884047,-10.07889547,21.32910954395775
16384,-10.07884083,-10.07889642,21.339419646654278
16384,-10.07884059,-10.07889564,21.334264595160494
17408,-10.05852147,-10.05857603,21.339419646654278
17408,-10.05852064,-10.05857605,21.334264595160494
17408,-10.05852036,-10.05857588,21.334264595160494
17408,-10.05852011,-10.05857606,21.3445746984391
17408,-10.05851961,-10.05857584,21.354884802881863
18432,-10.03819977,-10.03825481,21.354884802881863
18432,-10.03819969,-10.03825467,21.34972975051496
18432,-10.03819984,-10.03825459,21.3445746984391
18432,-10.0381998,-10.03825488,21.354884802881863
18432,-10.03819997,-10.03825489,21.354884802881863
19456,-10.01788119,-10.01793628,21.354884802881863
19456,-10.0178815,-10.0179359,21.354884802881863
19456,-10.0178815,-10.01793638,21.354884802881863
19456,-10.01788175,-10.01793617,21.3445746984391
19456,-10.01788125,-10.01793641,21.32910954395775
20480,-9.99756354,-9.997618761,21.32395449304604
20480,-9.997563717,-9.997618131,21.31364439209574
20480,-9.997563496,-9.997618497,21.298179242853074
20480,-9.997563408,-9.997618439,21.308489342057147
20480,-9.99756329,-9.997618028,21.308489342057147
21504,-9.977244123,-9.97729887,21.31364439209574
21504,-9.97724402,-9.977298782,21.298179242853074
21504,-9.977243519,-9.977298401,21.303334292309593
21504,-9.977243652,-9.977298005,21.298179242853074
21504,-9.977243431,-9.977297638,21.298179242853074
22528,-9.95692394,-9.9569787,21.303334292309593
22528,-9.956924308,-9.956978378,21.298179242853074
22528,-9.956923851,-9.956978407,21.293024193687597
22528,-9.956923955,-9.956978627,21.282714096229757
22528,-9.956923999,-9.956978935,21.26724895222578
23552,-9.936604302,-9.936659087,21.251783810841154
23552,-9.936604537,-9.936659131,21.241473718039924
23552,-9.936604861,-9.936659425,21.256938857678325
23552,-9.936605097,-9.936658985,21.26724895222578
23552,-9.936604876,-9.936659366,21.272403999936067
24576,-9.916287654,-9.916342187,21.262093904806534
24576,-9.916287801,-9.916341864,21.251783810841154
24576,-9.916287683,-9.916341791,21.246628764295018
24576,-9.916287683,-9.916341967,21.22600858102087
24576,-9.916286903,-9.916341249,21.205388402403333
25600,-9.895967367,-9.896021533,21.220853535929926
25600,-9.895966822,-9.896021768,21.23116362640285
25600,-9.895966778,-9.89602124,21.246628764295018
25600,-9.895967073,-9.896021592,21.256938857678325
25600,-9.89596694,-9.896021489,21.256938857678325
26624,-9.875647479,-9.875701642,21.26724895222578
26624,-9.8756477,-9.875701525,21.277559047937395
26624,-9.875647066,-9.875701495,21.26724895222578
26624,-9.875647346,-9.875701378,21.26724895222578
26624,-9.87564742,-9.875701847,21.262093904806534
27648,-9.855328342,-9.855382543,21.287869144813158
