# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
0,-10.40393279
0,-10.40393284
0,-10.40393309
0,-10.4039332
0,-10.40393313
53248,-9.347330171
53248,-9.347330245
53248,-9.347330142
53248,-9.347330363
53248,-9.347330289
104448,-8.331364861
104448,-8.331364979
104448,-8.331365053
104448,-8.331364744
104448,-8.331364744
159744,-7.234125594
159744,-7.234125314
159744,-7.234125005
159744,-7.234124975
159744,-7.234125314
212992,-6.177523725
212992,-6.177523946
212992,-6.177523814
212992,-6.177523858
212992,-6.177523416
263168,-5.18187844
263168,-5.181878603
263168,-5.181878632
263168,-5.181878676
263168,-5.181878558
315392,-4.145594903
315392,-4.145595109
315392,-4.145595124
315392,-4.145595271
315392,-4.145595006
365568,-3.149949043
365568,-3.149949073
365568,-3.149949176
365568,-3.149949132
365568,-3.14994922
421888,-2.03238816
421888,-2.032388175
421888,-2.032388293
421888,-2.032388278
421888,-2.032388116
472064,-1.036742463
472064,-1.036742463
472064,-1.03674233
472064,-1.036742375
472064,-1.036742522
524288,-0.0004598385181
524288,-0.0004596175622
524288,-0.0004596617534
524288,-0.0004597943269
524288,-0.0004595881015
574464,0.9951859913
574464,0.9951860502
574464,0.9951859618
574464,0.9951859913
574464,0.9951859913
626688,2.031469529
626688,2.031469853
626688,2.031469691
626688,2.03146975
626688,2.031469883
671744,2.92551818
671744,2.925518077
671744,2.925518209
671744,2.925518091
671744,2.925518356
737280,4.225951658
737280,4.225951555
737280,4.225951629
737280,4.225951599
737280,4.225951643
786432,5.201277743
786432,5.201277772
786432,5.201278023
786432,5.201277846
786432,5.201277964
851968,6.501713769
851968,6.501713666
851968,6.501713961
851968,6.501713931
851968,6.501713961
885760,7.172250173
885760,7.172249878
885760,7.172250173
885760,7.172250055
885760,7.172249775
951296,8.472685875
951296,8.472685816
951296,8.472685743
951296,8.472685389
951296,8.472685168
1048575,10.40299762
1048575,10.40299784
1048575,10.40299803
1048575,10.40299772
1048575,10.40299774
