# INL run# wait_settle = 1# samples_per_meter_per_step = 1# NPLC = 1vref,3458A_volt,3458B_volt,W4950_volt
-11.0,-10.99996331,-11.00001899,-10.99998
-10.75,-10.74996095,-10.75001961,-10.749983
-10.5,-10.49996404,-10.50002097,-10.499984
-10.25,-10.24996654,-10.25002101,-10.249985
-10.0,-9.999963294,-10.00001635,-9.999986
-9.75,-9.749967857,-9.750018446,-9.749986
-9.5,-9.499966087,-9.50001863,-9.499987
-9.25,-9.249966231,-9.250019842,-9.249987
-9.0,-8.999965492,-9.000017241,-8.999986
-8.75,-8.749967698,-8.750018452,-8.749987
-8.5,-8.499970199,-8.50001937,-8.499987
-8.25,-8.249974763,-8.250017356,-8.249987
-8.0,-7.99997255,-8.000021499,-7.999988
-7.75,-7.749972547,-7.75002315,-7.749989
