# INL run# soak = 5# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt,3458B_volt,ambient_temp
0,-10.40394659,-10.40400227,20.99918687234167
0,-10.40394622,-10.40400204,20.99918687234167
0,-10.40394572,-10.40400214,21.009496937785297
0,-10.40394579,-10.40400205,21.024962038133527
0,-10.40394554,-10.40400161,21.030117072165012
1024,-10.3836254,-10.38368219,21.061047282465733
1024,-10.38362582,-10.38368256,21.055892246688018
1024,-10.38362595,-10.38368244,21.071357354894282
1024,-10.38362601,-10.38368216,21.076512391545112
1024,-10.38362574,-10.38368219,21.076512391545112
2048,-10.36330581,-10.36336276,21.08166742848698
2048,-10.36330567,-10.3633623,21.071357354894282
2048,-10.36330555,-10.363362,21.076512391545112
2048,-10.36330561,-10.36336242,21.071357354894282
2048,-10.36330574,-10.36336228,21.08166742848698
3072,-10.34298708,-10.343043,21.08166742848698
3072,-10.34298643,-10.34304319,21.076512391545112
3072,-10.34298712,-10.34304322,21.08166742848698
3072,-10.34298647,-10.34304274,21.08166742848698
3072,-10.34298662,-10.34304249,21.1074426175619
4096,-10.3226672,-10.32272382,21.11259765625
4096,-10.32266737,-10.32272419,21.128062774060528
4096,-10.32266698,-10.3227238,21.122907734499314
4096,-10.32266694,-10.32272379,21.13321781391278
4096,-10.32266687,-10.32272389,21.13321781391278
5120,-10.30234724,-10.3024039,21.15383797623217
5120,-10.30234761,-10.30240406,21.128062774060528
5120,-10.30234816,-10.30240418,21.117752695229136
5120,-10.30234754,-10.30240367,21.117752695229136
5120,-10.30234732,-10.30240358,21.11259765625
6144,-10.28202832,-10.2820845,21.11259765625
6144,-10.28202864,-10.28208445,21.11259765625
6144,-10.28202926,-10.28208488,21.117752695229136
6144,-10.28202854,-10.28208476,21.15383797623217
6144,-10.28202843,-10.28208445,21.195078314840792
7168,-10.26170827,-10.26176503,21.334264595160494
7168,-10.26170887,-10.26176492,21.43221062330995
7168,-10.26170909,-10.26176528,21.499226387316593
7168,-10.26170872,-10.26176562,21.55593207220081
7168,-10.26170899,-10.26176508,21.597172592417337
8192,-10.24138916,-10.24144598,21.64872326888144
8192,-10.24138971,-10.24144597,21.65903340766672
8192,-10.24138941,-10.24144622,21.700273974449374
