# INL run# soak = 10# samples_per_meter_per_step = 5# NPLC = 100dac_counts,3458A_volt
0,-10.4038995
0,-10.40389925
0,-10.40389915
0,-10.40389906
0,-10.40389933
1024,-10.38357975
1024,-10.3835795
1024,-10.38357933
1024,-10.3835799
1024,-10.38357993
2048,-10.36326047
2048,-10.36326025
2048,-10.36326011
2048,-10.36326003
2048,-10.36326006
3072,-10.34294151
3072,-10.34294114
3072,-10.3429409
3072,-10.34294096
3072,-10.34294114
4096,-10.32262189
4096,-10.3226221
4096,-10.3226217
4096,-10.32262158
4096,-10.32262162
5120,-10.30230133
5120,-10.30230179
5120,-10.3023018
5120,-10.30230168
5120,-10.30230204
6144,-10.28198333
6144,-10.2819837
6144,-10.28198355
6144,-10.28198357
6144,-10.28198314
7168,-10.26166414
7168,-10.26166379
7168,-10.26166383
7168,-10.26166408
7168,-10.26166341
8192,-10.24134438
8192,-10.24134414
8192,-10.24134401
8192,-10.24134382
8192,-10.24134348
9216,-10.22102417
9216,-10.22102379
9216,-10.22102422
9216,-10.22102406
9216,-10.22102391
10240,-10.2007046
10240,-10.20070482
10240,-10.20070491
10240,-10.20070503
10240,-10.20070522
11264,-10.18038619
11264,-10.18038634
11264,-10.18038652
11264,-10.18038604
11264,-10.18038572
12288,-10.16006666
12288,-10.16006665
12288,-10.1600668
12288,-10.16006616
12288,-10.16006646
13312,-10.13974696
13312,-10.13974621
13312,-10.13974649
13312,-10.13974637
13312,-10.1397463
14336,-10.11942712
14336,-10.11942681
14336,-10.11942719
14336,-10.11942696
14336,-10.11942722
15360,-10.09910853
15360,-10.09910823
15360,-10.09910827
15360,-10.09910842
15360,-10.09910868
16384,-10.07879163
16384,-10.07879192
16384,-10.07879158
16384,-10.07879154
16384,-10.07879211
17408,-10.05847211
17408,-10.05847207
17408,-10.05847192
17408,-10.05847175
17408,-10.05847186
18432,-10.038151
18432,-10.03815151
18432,-10.03815128
18432,-10.0381512
18432,-10.03815151
19456,-10.01783328
19456,-10.017833
19456,-10.01783251
19456,-10.01783276
19456,-10.01783331
20480,-9.997515061
20480,-9.997514605
20480,-9.997514796
20480,-9.997514487
20480,-9.997514472
21504,-9.977194369
21504,-9.977194531
21504,-9.977194193
21504,-9.977194193
21504,-9.977194001
22528,-9.956875209
22528,-9.956874576
22528,-9.956874811
22528,-9.956874753
22528,-9.956874443
23552,-9.936554959
23552,-9.936555371
23552,-9.936555121
23552,-9.93655493
23552,-9.936555327
24576,-9.916237625
24576,-9.916237095
24576,-9.916237625
24576,-9.916237257
24576,-9.916237095
25600,-9.895918068
25600,-9.895917847
25600,-9.895918068
25600,-9.895917758
25600,-9.895917979
26624,-9.875597994
26624,-9.875598259
26624,-9.875597803
26624,-9.875598362
26624,-9.875598245
27648,-9.85527957
27648,-9.855279423
27648,-9.855279497
27648,-9.855279261
27648,-9.855279895
28672,-9.834961147
28672,-9.834961545
28672,-9.834961603
28672,-9.834961471
28672,-9.834961191
29696,-9.81464181
29696,-9.814641545
29696,-9.814641574
29696,-9.81464206
29696,-9.814641736
30720,-9.794322576
30720,-9.794322635
30720,-9.794322606
30720,-9.794322532
30720,-9.794322444
31744,-9.774003166
31744,-9.774003018
31744,-9.774003357
31744,-9.774003342
31744,-9.774003401
32768,-9.753685375
32768,-9.753685022
32768,-9.753684889
32768,-9.753684683
32768,-9.753685523
33792,-9.73336514
33792,-9.733365022
33792,-9.733364875
33792,-9.733364889
33792,-9.733365081
34816,-9.713043844
34816,-9.713044168
34816,-9.713044315
34816,-9.713043962
34816,-9.713044197
35840,-9.692725671
35840,-9.69272514
35840,-9.692724978
35840,-9.692724522
35840,-9.692724684
36864,-9.672407188
36864,-9.672407173
36864,-9.672406849
36864,-9.672407556
36864,-9.672407763
37888,-9.652087689
37888,-9.652087689
37888,-9.652088146
37888,-9.652088426
37888,-9.652088426
38912,-9.631768809
38912,-9.631769059
38912,-9.631769
38912,-9.631769045
38912,-9.631769678
39936,-9.61144928
39936,-9.611449413
39936,-9.611449369
39936,-9.611449855
39936,-9.611449663
40960,-9.591129104
40960,-9.591129119
40960,-9.591129104
40960,-9.591129192
40960,-9.591129148
41984,-9.570809811
41984,-9.570809693
41984,-9.570809634
41984,-9.570809384
41984,-9.570809605
43008,-9.550489841
43008,-9.55048962
43008,-9.55048987
43008,-9.550489664
43008,-9.550490194
44032,-9.530171078
44032,-9.530171108
44032,-9.530171299
44032,-9.530171226
44032,-9.53017152
45056,-9.509852876
45056,-9.509852552
45056,-9.509852611
45056,-9.509852758
45056,-9.509852876
46080,-9.489532832
46080,-9.489533126
46080,-9.489533288
46080,-9.489533215
46080,-9.489533171
47104,-9.469214143
47104,-9.46921404
47104,-9.469213804
47104,-9.469213937
47104,-9.469213789
48128,-9.448895572
48128,-9.448895322
48128,-9.448895764
48128,-9.448895115
48128,-9.448895734
49152,-9.428577045
49152,-9.428576677
49152,-9.428576736
49152,-9.428576618
49152,-9.42857653
50176,-9.408257045
50176,-9.408257134
50176,-9.408257016
50176,-9.408256825
50176,-9.408256825
51200,-9.387935691
51200,-9.387935838
51200,-9.387936059
51200,-9.387935956
51200,-9.38793572
52224,-9.367617458
52224,-9.367617075
52224,-9.367617753
52224,-9.36761762
52224,-9.367617326
53248,-9.347299815
53248,-9.347299565
53248,-9.347299005
53248,-9.347299359
53248,-9.347299418
54272,-9.326979492
54272,-9.326978858
54272,-9.326979506
54272,-9.326979359
54272,-9.326979506
55296,-9.306660199
55296,-9.306659993
