vref,hpm1_counts
5.599999999999945,5.600000002506001
5.699999999999944,5.699999994460201
5.799999999999944,5.8000000174244715
5.8999999999999435,5.900000010055437
5.999999999999943,6.000000009251073
6.099999999999945,6.099999995553529
6.1999999999999424,6.1999999852051815
6.29999999999994,6.299999982985863
6.399999999999942,6.400000016723005
6.499999999999943,6.499999993837003
6.599999999999941,6.600000008996538
6.699999999999939,6.700000010481675
6.79999999999994,6.80000001240851
6.899999999999942,6.899999989096947
6.99999999999994,6.9999999836915405
7.0999999999999375,7.100000006592477
7.199999999999939,7.199999989410406
7.29999999999994,7.300000009863175
7.399999999999938,7.39999997792257
7.499999999999936,7.500000011947914
7.5999999999999375,7.600000004847177
7.699999999999939,7.70000000872891
7.799999999999937,7.7999999784546645
7.899999999999935,7.900000000272706
7.999999999999936,8.000000006327491
8.099999999999937,8.10000000795312
8.199999999999935,8.199999991664974
8.299999999999933,8.299999992776126
8.399999999999935,8.400000008066165
8.499999999999936,8.49999994009972
8.599999999999934,8.600000001947024
8.699999999999932,8.699999979277145
8.799999999999933,8.799999989397618
8.899999999999935,8.89999989792357
8.999999999999932,8.999999874474279
9.09999999999993,9.09999995176463
9.199999999999932,9.199999878990083
9.299999999999933,9.29999986879563
9.399999999999931,9.399999957149342
9.499999999999929,9.4999998800039
9.59999999999993,9.599999899019604
9.699999999999932,9.699999863058324
9.79999999999993,9.79999986735557
9.899999999999928,9.900000000431813
9.999999999999929,10.000000001778968
10.09999999999993,10.099999978681565
10.199999999999928,10.200000004879039
10.299999999999926,10.299999996342576
10.399999999999928,10.39999996923621
10.499999999999929,10.500000002106965
10.599999999999927,10.599999963529319
10.699999999999925,10.699999995506975
10.799999999999926,10.799999980482603
10.899999999999928,10.899999966489059
