vref,hpm1_counts
-10.0,-9.999987027907187
-9.9,-9.899998738370542
-9.8,-9.799995465205981
-9.700000000000001,-9.699997012596448
-9.600000000000001,-9.599998996965036
-9.500000000000002,-9.499999806351893
-9.400000000000002,-9.399999836153992
-9.300000000000002,-9.29999970064572
-9.200000000000003,-9.199999972949204
-9.100000000000003,-9.100000006893435
-9.000000000000004,-9.000000009382383
-8.900000000000004,-8.900000002593371
-8.800000000000004,-8.79999999880194
-8.700000000000005,-8.700000001470755
-8.600000000000005,-8.599999959746688
-8.500000000000005,-8.500000001407518
-8.400000000000006,-8.39999996136367
-8.300000000000006,-8.299999957800583
-8.200000000000006,-8.199999959295377
-8.100000000000007,-8.099999998451294
-8.000000000000007,-8.000000004893476
-7.9000000000000075,-7.900000004234513
-7.800000000000008,-7.79999999406647
-7.700000000000008,-7.700000005160912
-7.6000000000000085,-7.599999998487433
-7.500000000000009,-7.500000005462301
-7.400000000000009,-7.400000000885433
-7.30000000000001,-7.2999999983818595
-7.20000000000001,-7.199999998453121
-7.10000000000001,-7.100000002952236
-7.000000000000011,-7.000000004049118
-6.900000000000011,-6.900000002882716
-6.800000000000011,-6.800000001863345
-6.700000000000012,-6.69999999843932
-6.600000000000012,-6.600000004213553
-6.500000000000012,-6.500000001038634
-6.400000000000013,-6.4000000039264755
-6.300000000000013,-6.299999965086707
-6.2000000000000135,-6.1999999860591855
-6.100000000000014,-6.099999945340425
-6.000000000000014,-6.000000002336077
-5.900000000000015,-5.899999947579838
-5.800000000000015,-5.799999973322838
-5.700000000000015,-5.6999999341091225
-5.600000000000016,-5.599999971308886
-5.500000000000016,-5.499999948478562
-5.400000000000016,-5.399999923863834
-5.300000000000017,-5.299999940390903
-5.200000000000017,-5.199999961414184
-5.100000000000017,-5.099999934021198
-5.000000000000018,-4.999999925554904
-4.900000000000018,-4.899999953386931
-4.8000000000000185,-4.800000030338767
-4.700000000000019,-4.699999927495126
-4.600000000000019,-4.599999939291971
-4.5000000000000195,-4.49999994047999
-4.40000000000002,-4.4000000773369425
-4.30000000000002,-4.299999942243995
-4.200000000000021,-4.2000000127435095
-4.100000000000021,-4.10000000174953
-4.000000000000021,-4.0000000934544175
-3.9000000000000217,-3.9000000538876853
-3.800000000000022,-3.800000134967713
-3.7000000000000224,-3.700000108089866
-3.6000000000000227,-3.600000007188583
-3.500000000000023,-3.500000074349805
-3.4000000000000234,-3.4000000830365757
-3.300000000000024,-3.300000026864981
-3.200000000000024,-3.1999999562937615
-3.1000000000000245,-3.0999999988496945
-3.000000000000025,-2.9999998081147865
-2.9000000000000252,-2.899999886941192
-2.8000000000000256,-2.7999998362990777
-2.700000000000026,-2.69999990761098
-2.6000000000000263,-2.599999827981783
-2.5000000000000266,-2.4999998856733834
-2.400000000000027,-2.399999847432863
-2.3000000000000274,-2.2999998092431664
-2.2000000000000277,-2.1999998079874445
-2.100000000000028,-2.0999998086741014
-2.0000000000000284,-1.9999998141269957
-1.9000000000000288,-1.8999998166726555
-1.8000000000000291,-1.7999998846918501
-1.7000000000000295,-1.7000000375891955
-1.6000000000000298,-1.5999999568669245
-1.5000000000000302,-1.4999999551006684
