time,W4950_volt
1693568759.0689075,0.0
1693568777.389932,-0.0
1693568795.710943,0.0
1693568814.036782,0.0
1693568832.3580496,0.0
1693568850.6795504,0.0
1693568868.999618,0.0
1693568887.320067,0.0
1693568905.6412492,0.0
1693568923.962048,0.0
1693568942.282049,0.0
1693568960.6030858,-0.0
1693568978.9241061,-0.0
1693568997.2447913,-0.0
1693569015.565192,0.0
1693569033.8856537,-0.0
1693569052.2060947,0.0
1693569070.5271626,0.0
1693569088.8487897,-0.0
1693569107.1696892,0.0
1693569125.4905157,0.0
1693569143.8113012,0.0
1693569162.132336,0.0
1693569180.4531324,0.0
1693569198.774369,0.0
1693569217.0954268,0.0
1693569235.4163892,-0.0
1693569253.7378435,-0.0
1693569272.0585032,0.0
1693569290.379436,0.0
1693569308.7000785,0.0
1693569327.0208843,0.0
1693569345.3416145,0.0
1693569363.662671,0.0
1693569381.9839299,0.0
1693569400.3047667,0.0
1693569418.630999,0.0
1693569436.9514363,-0.0
1693569455.2730763,-0.0
1693569473.593876,-0.0
1693569491.9148598,-0.0
1693569510.235308,-0.0
1693569528.5565693,0.0
1693569546.8771152,-0.0
1693569565.198153,-0.0
1693569583.518982,-0.0
1693569601.840296,-0.0
1693569620.161105,-0.0
1693569638.4820974,-0.0
1693569656.8030438,-0.0
1693569675.1238058,-0.0
1693569693.445073,-0.0
1693569711.7662413,-0.0
1693569730.0872638,0.0
1693569748.4086246,0.0
1693569766.7292936,-0.0
1693569785.0503876,-0.0
1693569803.3711154,0.0
1693569821.6910906,0.0
1693569840.0113673,0.0
1693569858.3320653,0.0
1693569876.6524854,-0.0
1693569894.9738333,-0.0
1693569913.2946386,-0.0
1693569931.615829,-0.0
1693569949.9363406,-1e-06
1693569968.2560937,-1e-06
1693569986.5767143,-1e-06
1693570004.8978148,0.0
1693570023.2188275,-0.0
1693570041.540023,-0.0
1693570059.8612509,0.0
1693570078.1872356,0.0
1693570096.5129097,0.0
1693570114.833972,-0.0
1693570133.154958,-0.0
1693570151.4760284,-0.0
1693570169.7966473,-0.0
1693570188.1170487,-0.0
1693570206.4380765,-0.0
1693570224.7594554,-0.0
1693570243.0812771,-0.0
1693570261.4023576,-0.0
1693570279.7239254,-0.0
1693570298.0452313,-0.0
1693570316.3663867,-0.0
1693570334.6873853,-0.0
1693570353.0084624,-0.0
1693570371.3295295,-0.0
1693570389.6504402,-0.0
1693570407.9712791,0.0
1693570426.2926085,0.0
1693570444.6136663,0.0
1693570462.9347906,-0.0
1693570481.2559187,-0.0
1693570499.5768902,-0.0
1693570517.8977716,-0.0
1693570536.218885,-0.0
1693570554.5397286,0.0
1693570572.860192,0.0
1693570591.1809142,-0.0
1693570609.5060635,0.0
1693570627.8270705,0.0
1693570646.1482162,-0.0
1693570664.469752,0.0
1693570682.789947,0.0
1693570701.1095717,0.0
1693570719.430391,-0.0
1693570737.7513523,0.0
1693570756.0721505,0.0
1693570774.3923721,-0.0
1693570792.7134817,-0.0
1693570811.0345573,0.0
1693570829.3554564,-0.0
1693570847.676723,-0.0
1693570865.997525,-0.0
1693570884.317662,0.0
1693570902.6385136,-0.0
1693570920.9586473,-0.0
1693570939.2788374,-0.0
1693570957.5997355,-0.0
1693570975.9195015,-0.0
1693570994.2399304,-0.0
1693571012.5611112,-0.0
1693571030.8819377,-0.0
1693571049.2028468,-0.0
1693571067.5230637,-0.0
1693571085.8440742,-0.0
1693571104.1654701,-0.0
1693571122.4860935,-0.0
1693571140.8063369,-0.0
1693571159.1271293,-0.0
1693571177.447148,-1e-06
1693571195.7680037,-0.0
1693571214.0881038,-0.0
1693571232.408242,-1e-06
1693571250.728624,-0.0
1693571269.0496335,-1e-06
1693571287.3705401,-0.0
1693571305.6918197,0.0
1693571324.0127618,-0.0
1693571342.3335078,-1e-06
1693571360.6535103,-1e-06
1693571378.9736598,-0.0
1693571397.2934916,-1e-06
1693571415.6136987,-1e-06
1693571433.9343605,-1e-06
1693571452.2547705,-1e-06
1693571470.5746799,-1e-06
1693571488.8947778,-1e-06
